%eval_id interface           x001           x002           x003           x004           x005           x006           x007           x008           x009           x010           x011           x012           x013           x014           x015           x016           x017           x018           x019           x020           x021           x022           x023           x024           x025           x026           x027           x028           x029           x030           x031           x032           x033           x034           x035           x036           x037           x038           x039           x040           x041           x042           x043           x044           x045           x046           x047           x048           x049           x050           x051           x052           x053           x054           x055           x056           x057           x058           x059           x060           y001           y002           y003           y004           y005           y006           y007           y008           y009           y010           y011           y012           y013           y014           y015           y016           y017           y018           y019           y020           y021           y022           y023           y024           y025           y026           y027           y028           y029           y030           y031           y032           y033           y034           y035           y036           y037           y038           y039           y040           y041           y042           y043           y044           y045           y046           y047           y048           y049           y050           y051           y052           y053           y054           y055           y056           y057           y058           y059           y060         obj_fn 
1            NO_ID         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    117.5197779 
2            NO_ID 0.0001000042721 0.0001008471107 9.978358281e-05 0.0001000540712 9.948139187e-05 9.982258142e-05 0.0001011480967 0.0001000199162 0.0001010624871 0.0001005664235 9.925107449e-05 9.941865534e-05 0.0001001523397 9.927450778e-05 9.837863755e-05 9.975509815e-05 0.0001006251224 9.995001912e-05 9.989660258e-05 0.0001012395759 0.0001016777582 9.972477978e-05 9.942993783e-05 0.000100385924 9.975768779e-05 9.829985691e-05 9.838310166e-05 0.000100256779 0.0001005618454 9.965131409e-05 9.996632609e-05 0.0001013933055 0.000101840025 0.000100094146 9.924265793e-05 9.990272203e-05 0.0001004696432 9.939488441e-05 9.797289528e-05 9.852870223e-05 9.958151702e-05 0.0001013677443 0.0001009462794 9.898815296e-05 0.0001004934142 0.0001003468746  9.9878442e-05 9.941104869e-05 9.967444362e-05 0.0001004040889 9.995998787e-05 9.940328763e-05 0.0001002180692 0.0001000248107 9.969818941e-05 9.977223976e-05 9.998817931e-05 0.000100074527 0.000100043849 0.0001000054509 9.998150337e-05 9.974816494e-05 0.0001003203245 0.000100593761 9.944340951e-05 9.993583492e-05 9.919976951e-05 0.0001003035211 0.0001011565873 0.0001001909454 0.0001005952962 0.0001016145128 0.000100573877 9.943215655e-05 9.974849106e-05 0.000100022414 9.891614484e-05 9.822235232e-05 9.985027402e-05 0.0001005453823 9.984387477e-05 0.0001002531025 0.0001016415762 0.0001017156568 9.974911889e-05 9.950755406e-05 0.0001003112927 9.977001483e-05 9.84026201e-05 9.824237031e-05 0.000100020684 0.0001005780995 9.985048963e-05 9.992033497e-05 0.0001012495897 0.0001021170599 0.0001008363444 9.947807585e-05 9.950669327e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    106.3857651 
3            NO_ID 0.0001000213606 0.0001042355534 9.891791403e-05 0.0001002703558 9.740695937e-05 9.911290711e-05 0.0001057404833 0.000100099581 0.0001053124356 0.0001028321176 9.625537244e-05 9.70932767e-05 0.0001007616987 9.63725389e-05 9.189318776e-05 9.877549076e-05 0.000103125612 9.97500956e-05 9.948301288e-05 0.0001061978796 0.0001083887912 9.862389891e-05 9.714968915e-05 0.0001019296201 9.878843896e-05 9.149928453e-05 9.191550832e-05 0.0001012838948 0.0001028092269 9.825657044e-05 9.983163043e-05 0.0001069665276 0.000109200125 0.0001004707298 9.621328967e-05 9.951361013e-05 0.0001023482162 9.697442205e-05 8.986447641e-05 9.264351114e-05 9.79075851e-05 0.0001068387214 0.0001047313972 9.494076482e-05 0.0001024670708 0.0001017343732 9.939220998e-05 9.705524347e-05 9.837221809e-05 0.0001020204447 9.979993934e-05 9.701643813e-05 0.000101090346 0.0001001240535 9.849094707e-05 9.886119878e-05 9.994089653e-05 0.000100372635 0.0001002192452 0.0001000272543 9.990751685e-05 9.87408247e-05 0.0001016016223 0.0001029688051 9.721704753e-05 9.967917459e-05 9.599884755e-05 0.0001015176055 0.0001057829366 0.0001009547269 0.0001029764809 0.000108072564 0.0001028693849 9.716078276e-05 9.87424553e-05 0.0001001120698 9.458072419e-05 9.11117616e-05 9.925137008e-05 0.0001027269117 9.921937385e-05 0.0001012655124 0.0001082078808 0.0001085782839 9.874559445e-05 9.753777032e-05 0.0001015564634 9.885007413e-05 9.201310049e-05 9.121185155e-05 0.0001001034202 0.0001028904973 9.925244817e-05 9.960167487e-05 0.0001062479487 0.0001105852994 0.0001041817219 9.739037925e-05 9.753346636e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    74.20910903 
4            NO_ID 0.000100040621 0.0001080546796 9.794221561e-05 0.0001005141309 9.506885897e-05 9.831303062e-05 0.0001109165789 0.0001001893715 0.0001101025679 0.0001053857896 9.28789058e-05 9.447233401e-05 0.0001014485095 9.310171926e-05 8.45834138e-05 9.767137171e-05 0.000105943923 9.952476107e-05 9.901685443e-05 0.0001117864016 0.0001159528207 9.738309208e-05 9.45796126e-05 0.0001036695256 9.769599509e-05 8.383433476e-05 8.462586043e-05 0.0001024415609 0.0001053422588 9.668454981e-05 9.967981446e-05 0.0001132481264 0.0001174957203 0.0001008951788 9.279887773e-05 9.907504069e-05 0.0001044655626 9.424631015e-05 8.07254481e-05 8.601029094e-05 9.602089036e-05 0.0001130050796 0.0001089976171 9.037893898e-05 0.0001046915864 0.0001032982279 9.884417612e-05 9.440000687e-05 9.690447498e-05 0.0001038422451 9.961954807e-05 9.432621142e-05 0.0001020734923 0.0001002359105 9.713025984e-05 9.78343612e-05 9.988760395e-05 0.0001007086337 0.0001004169348 0.000100051829 9.982412638e-05 9.760544786e-05 0.0001030457777 0.0001056457259 9.470770688e-05 9.938989181e-05 9.239107681e-05 0.0001028860045 0.0001109973117 0.0001018155878 0.0001056603229 0.000115351457 0.0001054566603 9.460070912e-05 9.760854875e-05 0.0001002131212 8.969425587e-05 8.309738902e-05 9.857634328e-05 0.0001051857214 9.851549659e-05 0.0001024066033 0.0001156087865 0.0001163131758 9.761451842e-05 9.531761993e-05 0.0001029598997 9.781320565e-05 8.481144977e-05 8.328772837e-05 0.0001001966723 0.0001054968093 9.857839347e-05 9.924251191e-05 0.0001118816172 0.0001201298829 0.000107952309 9.503732885e-05 9.530943516e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    61.64767122 
5            NO_ID 0.0001045312511 0.0001112917805 9.648607689e-05 9.313809783e-05 9.346770698e-05 0.0001024125418 0.0001195075788 0.0001007726719 0.0001077909056 0.0001024380828 8.731170405e-05 8.599382026e-05 9.501206635e-05 8.909737832e-05 8.176899251e-05 9.871846615e-05 0.0001097852201 0.0001052663756 0.0001037293659 0.0001151041819 0.0001177446206 9.454567273e-05 8.985662846e-05 9.847345046e-05 9.346225685e-05 8.06065065e-05 8.386605858e-05 0.0001049330329 0.0001079202623 9.963825143e-05 0.0001035302883 0.0001161779758 0.0001173147661 9.753662048e-05 9.02649072e-05 9.771442972e-05 0.000101796195 8.99699216e-05 7.745930072e-05 8.778213366e-05 9.891333258e-05 0.0001097983988 0.0001035867703 9.390954007e-05 0.000108356287  9.4923914e-05 8.421359698e-05 0.0001071799543 0.0001073912312 0.000101846179 9.832862729e-05 9.449567801e-05 0.0001039903196 9.929067518e-05 0.0001011345458 0.0001009097479 9.957242691e-05 9.797560024e-05 9.848810026e-05 9.96999403e-05 9.764391681e-05 0.0001044198754 0.0001079388838 0.0001049191654 8.944466689e-05 9.46200939e-05 9.587371257e-05 0.0001077279909 0.0001208294909 0.0001090861772 0.0001086939087 0.0001163950824 0.0001027717911 8.874567306e-05 8.933688487e-05 9.340827189e-05 8.571839653e-05 8.145093773e-05 0.0001015904155 0.0001105906821 0.0001050756947 0.0001073153774 0.0001184220825 0.0001165679272 9.360684847e-05 9.048423496e-05 9.820349627e-05 9.339382813e-05 8.252912468e-05 8.441008691e-05 0.0001040897239 0.0001085420626 0.0001012707225 0.0001029010735 0.0001151173098 0.0001203372217 0.0001040602736 9.185452793e-05 9.451475988e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    51.33101199 
6            NO_ID 0.0001137939274 0.0001179688429 9.348254703e-05 7.792379498e-05  9.0165063e-05 0.0001108684698 0.000137227954 0.0001019758267 0.0001030227151 9.635794418e-05 7.582841857e-05 6.850546648e-05 8.173582505e-05 8.083775486e-05 7.596377751e-05 0.0001008782737 0.0001177085382 0.0001171094167 0.0001134497097 0.000121947659 0.0001214405077 8.869302039e-05 8.011468313e-05 8.775567572e-05 8.472946309e-05 7.394857043e-05 8.22988401e-05 0.000110072111 0.0001132378259 0.0001057307554 0.000111472535 0.0001222212806 0.0001169415177 9.060903178e-05 8.503816883e-05 9.490794186e-05 9.629017751e-05 8.114915441e-05 7.072232504e-05 9.143685584e-05 0.0001048794788 0.000103184083 9.242599304e-05 0.0001011919958 0.0001159153455 7.765048977e-05 5.40355786e-05 0.000133540735 0.0001290219213 9.77289586e-05 9.566588711e-05 9.484523124e-05 0.0001079440969 9.734096923e-05 0.0001093940558 0.0001072532476 9.892232152e-05 9.233826136e-05 9.450955622e-05 9.897411091e-05 9.314686962e-05 0.0001184757728 0.0001180317341 0.0001034205128 7.858876596e-05 8.478158733e-05 0.0001030572318 0.0001177153983 0.0001411100064 0.0001240829847 0.0001149511873 0.0001185477344 9.72337989e-05 7.666868116e-05 7.22751936e-05 7.937213122e-05 7.751752116e-05 7.805485635e-05 0.000107807444 0.0001217393182 0.0001186072013 0.0001174405457 0.0001242249765 0.0001170933946 8.534035838e-05 8.051456944e-05 8.839261797e-05 8.427812228e-05 7.782144714e-05 8.672513926e-05 0.0001121197945 0.0001148234072 0.0001068241019 0.000110447469 0.0001217914673 0.0001207648927 9.603229916e-05 8.528946829e-05 9.28756091e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    42.76710447 
7            NO_ID 0.0001137938452 0.0001179687837 9.348257366e-05 7.792392989e-05 9.016509228e-05 0.0001108683949 0.0001372277969 0.000101975816 0.0001030227574 9.63579981e-05 7.58285204e-05 6.850562156e-05 8.173594278e-05 8.08378281e-05 7.596382899e-05 0.0001008782545 0.000117708468 0.0001171093117 0.0001134496235 0.0001219475984 0.0001214404749 8.869307229e-05 8.011476952e-05 8.775577076e-05 8.472954053e-05 7.394862947e-05  8.2298854e-05 0.0001100720655 0.0001132377788 0.0001057307014 0.0001114724645 0.000122221227 0.000116941521 9.060909321e-05 8.503821518e-05 9.490796674e-05 9.629022634e-05 8.114923263e-05 7.072238478e-05 9.143682343e-05 0.0001048794259 0.0001031841416 9.242609201e-05 0.0001011919312 0.0001159152784 7.765064294e-05 5.403584621e-05 0.0001335405012 0.0001290217295 9.772899511e-05 9.566591072e-05 9.484522814e-05 0.0001079440618 9.734098652e-05 0.0001093939826 0.0001072531914 9.892232729e-05 9.233831135e-05 9.45095915e-05 9.897411735e-05 9.31469095e-05 0.0001184756481 0.0001180316446 0.0001034205261 7.858886223e-05 8.478167458e-05 0.000103057168 0.0001177153097 0.0001411098266 0.0001240828517 0.0001149511318 0.0001185477154 9.723384801e-05 7.666878826e-05 7.227534489e-05 7.937225569e-05 7.751759388e-05 7.805488646e-05 0.0001078073889 0.0001217392193 0.0001186070814 0.0001174404559 0.0001242249251  0.00011709339 8.534043169e-05 8.051465784e-05 8.839270497e-05 8.427820311e-05 7.782148888e-05 8.672511874e-05 0.0001121197233 0.0001148233515 0.0001068240526 0.0001104474021 0.0001217914081 0.0001207648889 9.603237035e-05 8.528952651e-05 9.287562363e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    42.76710447 
8            NO_ID 0.0001179887763 0.0001244393329 9.306084596e-05 6.337385874e-05 9.159989968e-05 0.0001140424274 0.0001513378749 0.0001021516104 9.422326796e-05 9.55782351e-05 7.05659851e-05 5.160092104e-05 7.053952051e-05 7.952915806e-05 7.332886159e-05 9.598460311e-05 0.0001212908465 0.0001291332322 0.0001177604764 0.000120415349 0.0001235257332 8.977827411e-05 7.266502563e-05 7.709905213e-05 8.289445339e-05 7.458787738e-05 7.986456587e-05 0.0001080220879 0.0001163711216 0.000111822973 0.0001128217413 0.0001202568967 0.0001157891497 9.078129507e-05 8.354985411e-05 9.133452383e-05 9.332238919e-05 7.988187575e-05 7.054309094e-05 9.122929255e-05 0.0001046663503 0.0001035050347 9.296630043e-05 0.0001005573588 0.0001149408424 8.032697233e-05 5.871972832e-05 0.0001243741062 0.0001222584663 9.759683744e-05 9.647172406e-05 9.671260502e-05 0.0001076583385 0.0001019419223 0.0001047067324 0.0001017277507 9.548995822e-05 8.956023494e-05 9.367751708e-05 9.891974549e-05 8.747928532e-05 0.0001326338611 0.0001221739247 0.0001049773794 7.156825079e-05 7.485621308e-05 0.0001136015962 0.0001208109169 0.0001572452037 0.0001378810332 0.0001153646909 0.0001166558407 9.800466752e-05 7.063191489e-05 5.697423434e-05 7.049916162e-05 7.792542799e-05 7.764290042e-05 0.0001070075883 0.0001287539974 0.0001309980094 0.0001204382692 0.0001221312198 0.0001177009239 8.422838587e-05 7.352328643e-05 8.002955108e-05 8.261077997e-05 8.061103069e-05 8.836865005e-05 0.000112456267 0.0001175288677 0.0001117400936 0.0001124637389 0.0001203385591 0.0001181624315 9.442324656e-05 8.489930293e-05 9.283239213e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    35.24467305 
9            NO_ID 0.0001311950933 0.000144809661 9.173317939e-05 1.756789738e-05 9.611690387e-05 0.0001240347919 0.0001957586671 0.0001027050395 6.652106174e-05 9.312341593e-05 5.399867858e-05 -1.617791815e-06 3.52913846e-05 7.540925455e-05 6.503356093e-05 8.057860226e-05 0.0001325687495 0.0001669864656 0.000131331734 0.0001155915819 0.0001300904612 9.319466378e-05 4.921203511e-05 4.354998996e-05 7.71173043e-05 7.660033249e-05 7.220103578e-05 0.0001015684294 0.0001262353881 0.0001310024225 0.0001170694812 0.0001140728696 0.0001121612995 9.132341418e-05 7.886425437e-05 8.008475151e-05 8.39791611e-05 7.589203273e-05 6.997864512e-05 9.057595201e-05 0.000103995554 0.0001045152576 9.466696332e-05 9.855962284e-05 0.000111873161 8.875248717e-05 7.346534167e-05 9.551682206e-05 0.0001009666272 9.718078389e-05 9.90085539e-05 0.0001025914074 0.0001067588354 0.0001164264071 8.995051565e-05 8.433277572e-05  8.4684309e-05 8.081440412e-05 9.105801312e-05 9.874857414e-05 6.963669396e-05  0.00017720619 0.000135214488 0.0001098786039 4.946623817e-05 4.360926582e-05 0.0001467971497 0.0001305563855 0.000208041963 0.0001813199252 0.0001166666415 0.0001106999154 0.0001004313311 5.162686774e-05 8.803880321e-06 4.256523608e-05 7.920935529e-05 7.634590217e-05 0.0001044896878 0.0001508376459 0.0001700066414 0.0001298758668 0.0001155398993 0.0001196135383 8.072748701e-05 5.15133261e-05 5.370099916e-05 7.736146405e-05 8.93929564e-05 9.354275064e-05 0.0001135157606 0.0001260462673 0.0001272165802 0.0001188114909 0.0001157647571 0.0001099694775 8.93574664e-05 8.367081641e-05 9.269629242e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    25.02562444 
10           NO_ID 0.0001311967172 0.0001448121658 9.173301614e-05 1.756226502e-05 9.611745929e-05 0.0001240360206 0.0001957641291 0.0001027051076 6.651765544e-05 9.312311408e-05 5.399664144e-05 -1.624335663e-06 3.528705044e-05 7.540874796e-05 6.503254093e-05 8.057670792e-05 0.0001325701362 0.0001669911201 0.0001313334027 0.0001155909887 0.0001300912684 9.319508386e-05 4.920915129e-05 4.354586472e-05 7.711659394e-05 7.660057994e-05 7.220009346e-05 0.0001015676359 0.000126236601 0.0001310047808 0.0001170700035 0.0001140721092 0.0001121608534 9.132348084e-05 7.886367822e-05 8.008336822e-05 8.397801224e-05 7.589154213e-05 6.997857571e-05 9.057587167e-05 0.0001039954715 0.0001045153819 9.466717244e-05 9.85593772e-05 0.0001118727838 8.875352318e-05 7.346715481e-05 9.551327372e-05 0.0001009640091 9.718073273e-05 9.900886583e-05 0.0001025921303 0.0001067587248 0.0001164281882 8.99487012e-05 8.433063681e-05 8.468298032e-05 8.081332872e-05 9.105769102e-05 9.87485531e-05 6.963450001e-05 0.0001772116707 0.0001352160915 0.0001098792065 4.946352047e-05 4.360542365e-05 0.0001468012315 0.0001305575839 0.000208048209 0.0001813252665 0.0001166668015 0.000110699183 0.0001004316295 5.162453085e-05 8.797957227e-06 4.256180129e-05 7.920951316e-05 7.634574269e-05 0.0001044893782 0.0001508403613 0.000170011438 0.0001298770272 0.0001155390888 0.0001196137735 8.072705654e-05 5.151061972e-05 5.369776177e-05 7.736081859e-05 8.939403624e-05 9.354338686e-05 0.0001135158909 0.0001260473146 0.0001272184832 0.0001188122714 0.0001157641947 0.0001099684701 8.93568435e-05 8.367066535e-05 9.269627569e-05         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    25.02562438 
