# orbit data saved at Wed Nov  2 10:08:41 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00  -1.33558465879012e-01  -3.85799714653814e-01
  3.10909560000000e+00  -2.00164940621551e-01  -2.47129949563711e-01
  3.88442290000000e+00  -3.42055366182403e-02  -3.75457174583644e-01
  5.44372970000000e+00   2.70909282853268e-01  -2.68811048546777e-01
  6.48219120000000e+00   1.31282606882690e-01  -2.28719825093524e-01
  7.25751850000000e+00   1.93635784578004e-01  -1.13473553301562e-01
  8.81682530000000e+00   4.12364205386467e-03   9.07520671035542e-02
  9.85528680000000e+00  -1.51577704862957e-02   3.02940261696500e-02
  1.07621941000000e+01  -1.07429944111776e-01  -2.91469050327427e-01
  1.27599199000000e+01  -7.80202870262279e-01  -1.32084571952575e+00
  1.47576457000000e+01  -6.27033737255400e-01  -1.40481936933294e+00
  1.62277122000000e+01  -6.35325564345678e-01  -1.84162711318002e+00
  1.71346195000000e+01   3.03780809357728e-02  -3.11301873533430e+00
  1.91323453000000e+01  -8.34439795954317e-01  -3.58576236668712e+00
  2.11300711000000e+01  -3.92701421227924e-01  -3.03625169479727e+00
  2.26001376000000e+01   1.16654361967241e-01  -2.64518789633365e+00
  2.35070449000000e+01   1.73993091819175e+00  -3.02885484758037e+00
  2.55047707000000e+01   1.56535127968491e+00  -3.36352070803655e+00
  2.75024965000000e+01   1.08084756146173e+00  -2.29985748140092e+00
  2.89725630000000e+01   9.32447550725906e-01  -1.06343781742850e+00
  2.98794703000000e+01   1.75492854332204e+00  -8.55237330383921e-02
  3.18771961000000e+01   2.01438337931898e+00   1.74096094832363e-01
  3.38749219000000e+01   9.26918069754540e-01   1.91196798800936e-01
  3.53449884000000e+01  -1.14734520878311e-01   5.62151667418333e-01
  3.62518957000000e+01  -8.28129805554352e-01   1.03922414806507e+00
  3.82496215000000e+01  -6.90437814061388e-01   1.34765012726651e+00
  4.02473473000000e+01  -5.67975586432147e-01   1.94767105494642e-01
  4.17174138000000e+01  -1.02879278304971e+00  -6.41009978597548e-01
  4.26243211000000e+01  -1.33204942985878e+00  -1.48521889947387e+00
  4.46220468999999e+01  -1.41956566851252e+00  -1.33674263727825e+00
  4.66197726999999e+01   7.32962047738951e+00  -3.45519510708399e+00
  4.80898391999999e+01   6.33632454793517e+00  -8.56307716451916e+00
  4.89967464999999e+01   6.67525814434646e+00  -8.98216862790136e+00
  5.09944722999999e+01  -1.52988406454988e-01  -3.19002227941007e+00
  5.29921980999999e+01   2.10953307091831e+00   6.86231590046987e+00
  5.44622645999999e+01   7.61683755101503e+00   6.84434317423404e+00
  5.53691718999999e+01   8.31777376964722e+00   7.45722042620870e+00
  5.73668976999999e+01   3.40747850134149e+00   9.90926832956837e-01
  5.93646234999998e+01  -7.10497682930348e+00   2.13917502427750e+00
  6.08346899999998e+01  -7.44403403207041e+00   7.38541673720172e+00
  6.17415972999998e+01  -8.00303513927801e+00   8.01969627434121e+00
  6.37393230999998e+01  -7.29615680701329e-01   4.21205530202544e+00
  6.57370488999998e+01  -4.70219432917698e-01  -6.28409192833788e+00
  6.72071153999998e+01  -6.03965805212773e+00  -8.39306662324282e+00
  6.81140226999998e+01  -7.03163295130080e+00  -9.82322251931997e+00
  7.01117484999998e+01  -5.99408977198992e+00  -3.80028657695820e+00
  7.21094742999998e+01   3.24155022618383e+00  -1.39588307105756e+00
  7.35795407999999e+01   7.28234164498502e+00  -5.16501967819970e+00
  7.44864480999999e+01   9.88525413756555e+00  -6.46701201821484e+00
  7.64841738999999e+01   4.57664540678593e+00  -8.14390255143371e+00
  7.84818996999999e+01  -3.66976120550811e-01  -1.44227838976809e+00
  7.99519661999999e+01   1.07492457222679e+00   4.62847100842010e+00
  8.42514661999999e+01   1.90100008138019e+00  -1.40574446784339e+01
  8.55999661999999e+01  -2.22794999317629e+00  -1.01957790291342e+01
  9.02926781999999e+01  -4.71817031137866e+00   1.64584614183624e+01
  9.25673881999998e+01   1.84823022057021e+00   1.38208933425663e+01
  9.92230671999998e+01   3.09146709095806e+00  -4.56390273305417e+00
  1.00866973200000e+02   1.43091563253270e+00  -7.08811121499385e+00
  1.08848651200000e+02  -1.92035548352093e+01  -1.97392965697308e+01
  1.10022151200000e+02  -8.09425509709287e+00  -1.25865665276488e+01
  1.12402151200000e+02   7.31030987065225e+00   2.38506529472906e+01
  1.15386501200000e+02   1.40352154785829e+01   3.30285488204974e+01
  1.18925531200000e+02   8.36437582760835e+00   1.04146913526583e+01
  1.24588799200000e+02  -2.60527173571883e+00  -7.04464703635846e+01
  1.26004954200000e+02  -4.49983724064399e+00  -3.84473580348505e+01
  1.29806844200000e+02   8.46452442472317e-01  -1.19780930463212e+01
  1.34224590200000e+02  -7.62060531822598e+00   7.78495682702944e+00
  1.37878480200000e+02   6.23203679136388e+00   3.98976689411652e+01
  1.41242740200000e+02   7.40718135976747e+00   4.82207006349186e+01
  1.46341150200000e+02   4.56685275741687e+00  -4.84253340918871e+01
  1.47697646200000e+02   4.93357803581335e+00  -2.84933248286173e+01
  1.54032200200000e+02  -6.25113092771043e+00   8.06398043719219e-01
  1.56731200200000e+02  -6.71284477448766e+00   5.26775641776668e+00
  1.57829700200000e+02  -2.95247816065137e+00   4.22819552716421e+00
