# orbit data saved at Tue Nov  8 16:19:28 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   2.06634476672280e-01  -1.43530143115627e-01
  3.10909560000000e+00   9.50381392126922e-02  -5.06886414757947e-02
  3.88442290000000e+00   1.56481165114712e-01   1.06698849052779e-01
  5.44372970000000e+00  -1.27785941919304e-01   6.84244094350112e-02
  6.48219120000000e+00  -1.59059903699432e-01  -1.42572491880740e-02
  7.25751850000000e+00  -2.33348146026515e-01  -2.36006519434020e-01
  8.81682530000000e+00   2.01363333776928e-01  -5.50827285704835e-01
  9.85528680000000e+00   2.76570855063248e-01  -3.67920784444681e-01
  1.07621941000000e+01   8.78764259707210e-01  -3.34422633628018e-01
  1.27599199000000e+01   5.58972046337938e-01  -6.91164953724506e-01
  1.47576457000000e+01   2.64119808456131e-02  -2.73041566390961e-01
  1.62277122000000e+01   7.28678449350892e-02   8.21720212284382e-02
  1.71346195000000e+01   2.84875701368867e-01   9.43919603624568e-02
  1.91323453000000e+01   2.36538760768725e-01  -2.01501884873446e-01
  2.11300711000000e+01  -1.47755199266594e-01  -2.85651891010016e-01
  2.26001376000000e+01  -2.93892275916673e-01  -4.28214740218121e-02
  2.35070449000000e+01  -2.30708479448153e-01  -9.63349636015417e-02
  2.55047707000000e+01  -6.51708818276679e-02  -6.48550346599630e-02
  2.75024965000000e+01   7.87995858848170e-02  -2.22687751323512e-01
  2.89725630000000e+01   3.73036001763336e-03  -3.13215437542244e-01
  2.98794703000000e+01   8.40492430053025e-02  -4.42752413888194e-01
  3.18771961000000e+01  -8.76081365880700e-02  -3.48880970942534e-01
  3.38749219000000e+01   2.48460700523567e-02  -1.10544615487916e-01
  3.53449884000000e+01   1.86055653736265e-01  -1.08891259302152e-01
  3.62518957000000e+01   3.46758430196177e-01  -1.73301395310047e-01
  3.82496215000000e+01   1.49151593424123e-01  -3.39623159523469e-01
  4.02473473000000e+01  -8.89709707558265e-02  -1.76573380654892e-01
  4.17174138000000e+01  -8.88040745753608e-03  -7.78804597931153e-03
  4.26243211000000e+01   1.37912288520858e-01  -1.30380294782357e-02
  4.46220468999999e+01   2.32327050143986e-01  -2.32407406138321e-01
  4.66197726999999e+01   7.10300106913729e-02  -3.67788969388413e-01
  4.80898391999999e+01  -2.85992693151716e-02  -2.34944627474516e-01
  4.89967464999999e+01   8.52108051075817e-02  -1.85609325154097e-01
  5.09944722999999e+01   2.73348686612274e-01  -1.13155095938121e-01
  5.29921980999999e+01   3.61076874897582e-01  -1.71436290512604e-01
  5.44622645999999e+01   2.58687078802281e-01  -1.99056395116530e-01
  5.53691718999999e+01   2.69127452407843e-01  -1.36653828666962e-01
  5.73668976999999e+01   1.75745680185620e-01   3.83949373189340e-02
  5.93646234999998e+01   2.24137609498173e-01   1.97697573063290e-01
  6.08346899999998e+01   2.58407579536936e-01   1.35103939338264e-01
  6.17415972999998e+01   2.20549916773014e-01   1.36483685571782e-01
  6.37393230999998e+01   7.04018095564182e-02   7.61579356245393e-02
  6.57370488999998e+01  -3.94690503670260e-02   1.25717096469268e-01
  6.72071153999998e+01  -1.36297364838991e-04   1.30186733059818e-01
  6.81140226999998e+01   3.35263756993866e-03   8.58005715872372e-02
  7.01117484999998e+01   3.14813465685838e-02   1.50594841128615e-02
  7.21094742999998e+01   5.13791338219115e-02  -8.95742765100359e-03
  7.35795407999999e+01   7.65202635922664e-02  -2.85154296517926e-02
  7.44864480999999e+01   1.12979210378686e-01  -4.95805365644309e-02
  7.64841738999999e+01   5.37415790042304e-02  -6.82904923983394e-02
  7.84818996999999e+01  -5.09262835285215e-02   1.66970976223296e-02
  7.99519661999999e+01  -4.84740957833400e-02   1.11950672808517e-01
  8.42514661999999e+01   8.49458677761844e-02  -1.30332439986184e-01
  8.55999661999999e+01   2.62795156201927e-01   1.27465258178264e-02
  9.02926781999999e+01   4.21933386373940e-02   3.60763376075790e-01
  9.25673881999998e+01   8.01465886354587e-02   5.80570000635546e-02
  9.92230671999998e+01   8.93570926351160e-02  -1.76332482397813e-01
  1.00866973200000e+02   2.87141902913152e-01   4.88834797440389e-02
  1.08848651200000e+02   2.69063033744884e-01   1.14901028307376e-02
  1.10022151200000e+02   5.95177854936782e-02   1.07682539246127e-01
  1.12402151200000e+02  -3.08711003585674e-01   1.55258206598157e-01
  1.15386501200000e+02  -3.46452800648428e-01   1.86385825911578e-01
  1.18925531200000e+02   2.72464663298993e-01   4.61919774028744e-01
  1.24588799200000e+02  -2.54450985365936e-01   1.55090810528676e-01
  1.26004954200000e+02  -1.02818372322855e+00   6.73990345414985e-02
  1.29806844200000e+02  -2.23756497275124e+00   1.83460160122769e-01
  1.34224590200000e+02  -2.42000643632575e+00   1.71556504107499e-01
  1.37878480200000e+02  -5.96845486712483e-01   1.01149079551234e-02
  1.41242740200000e+02  -5.82796611337430e-01   5.23966507171742e-02
  1.46341150200000e+02  -8.70380156598867e-02   1.64811365812960e-01
  1.47697646200000e+02   4.08900163012945e-02   1.98606662534997e-01
  1.54032200200000e+02   8.35026054544814e-02  -1.73320085908845e-01
  1.56731200200000e+02  -2.05962637474394e-01   2.72176339544400e-02
  1.57829700200000e+02  -5.93328622740215e-02   2.37786047680687e-01
