%eval_id interface           X001           X002           X003           X004           X005           X006           X007           X008           X009           X010           X011           X012           X013           X014           X015           X016           X017           X018           X019           X020           X021           X022           X023           X024           X025           X026           X027           X028           X029           X030           X031           X032           X033           X034           X035           X036           X037           X038           X039           X040           X041           X042           X043           X044           X045           X046           X047           X048           X049           X050           X051           X052           X053           X054           X055           X056           X057           X058           X059           X060           Y001           Y002           Y003           Y004           Y005           Y006           Y007           Y008           Y009           Y010           Y011           Y012           Y013           Y014           Y015           Y016           Y017           Y018           Y019           Y020           Y021           Y022           Y023           Y024           Y025           Y026           Y027           Y028           Y029           Y030           Y031           Y032           Y033           Y034           Y035           Y036           Y037           Y038           Y039           Y040           Y041           Y042           Y043           Y044           Y045           Y046           Y047           Y048           Y049           Y050           Y051           Y052           Y053           Y054           Y055           Y056           Y057           Y058           Y059           Y060         obj_fn 
1            NO_ID  -1.183402e-06   1.434617e-05  -2.130102e-05  -2.644667e-06   4.488981e-05   2.902359e-05  -5.644984e-06    1.70816e-05  -3.921724e-05   3.043854e-05   9.627985e-06   8.453905e-06  -3.173335e-05  -1.667864e-05  -3.509283e-05   3.699784e-05   1.925666e-08   -2.35486e-05   2.141769e-05  -4.263231e-05   1.395572e-05  -8.885571e-07   1.195717e-05   -9.08492e-06  -1.470528e-05   3.833512e-05   4.597916e-05  -1.327854e-05   1.361089e-05   3.801412e-05   2.841777e-05    7.55228e-07   3.028411e-05  -3.802745e-05   7.223443e-06   1.947847e-05  -1.424213e-05   4.640362e-05   -4.38378e-05   6.095012e-06  -8.443788e-06   2.023097e-05  -4.250894e-06  -3.789867e-07   4.176234e-06   1.833089e-05   4.138527e-06  -2.792122e-05   1.220984e-05  -1.476129e-05  -4.959798e-05  -1.280535e-05  -5.516812e-06  -2.973281e-05   -2.17058e-05  -1.456457e-05   3.084907e-05  -9.789356e-06  -3.675087e-05   8.699516e-06  -1.775797e-05   2.683639e-05   3.848917e-05  -4.440503e-05   3.163373e-05  -3.293294e-05  -1.767143e-05  -3.998724e-05  -1.153445e-06   3.280603e-05   3.335092e-05  -4.330604e-06   3.336564e-05  -3.487118e-05   2.107926e-06   3.771298e-06  -1.075785e-05      1.004e-05  -4.401904e-05  -1.371481e-05   3.433765e-05   -3.31866e-05  -1.391169e-06  -2.462335e-05  -2.030796e-05   3.171953e-05  -2.423897e-05   6.464819e-08  -1.082211e-05   4.391892e-05   2.325566e-05  -4.825595e-05   3.206473e-05  -6.066096e-06   -4.86558e-05  -1.883712e-05  -1.089818e-05  -2.861988e-05  -1.807102e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    229.5478784 
2            NO_ID -1.258416957e-06 1.526521884e-05 -2.152546165e-05 -2.435811393e-06 4.431505165e-05 2.874368651e-05 -4.482784101e-06 1.709540676e-05 -3.793608179e-05 3.115018652e-05  8.8723731e-06 7.95521301e-06 -3.142371334e-05 -1.743348385e-05 -3.690024507e-05 3.670800696e-05 6.701641016e-07 -2.372071403e-05 2.120908953e-05 -4.126559701e-05 1.584427085e-05 -1.156075145e-06 1.140219767e-05 -8.530193237e-06 -1.490009603e-05 3.645212172e-05 4.415543181e-05 -1.30194549e-05 1.420321526e-05 3.755422954e-05 2.831348448e-05 2.297706764e-06 3.238154042e-05 -3.786204702e-05 6.417832818e-06 1.940838358e-05 -1.365366805e-05 4.579474826e-05 -4.607170599e-05 4.417219146e-06 -8.951425601e-06 2.180716482e-05 -3.123577599e-06 -1.554181364e-06 4.695790739e-06 1.878185826e-05 4.110965633e-06 -2.857127564e-05 1.183304514e-05 -1.436653127e-05 -4.962872997e-05 -1.337117792e-05 -5.312762813e-06 -2.973157564e-05 -2.195900985e-05 -1.474348566e-05 3.086569765e-05 -9.677866397e-06 -3.668539699e-05 8.708792486e-06 -1.773339449e-05 2.640913484e-05 3.877068815e-05 -4.370679997e-05 3.108935222e-05 -3.291304306e-05 -1.86701725e-05 -3.972368197e-05 -8.817937569e-09 3.287929244e-05 3.397546956e-05 -2.493836622e-06 3.406981485e-05 -3.541807377e-05 1.98010665e-06 3.932070032e-06 -1.192766379e-05 8.033942311e-06 -4.423694939e-05 -1.319175989e-05 3.402358875e-05 -3.299033652e-05 4.378837589e-07 -2.267198167e-05 -2.052752516e-05 3.125057802e-05 -2.378616331e-05 -1.162083123e-07 -1.260656046e-05 4.189738209e-05 2.321386306e-05 -4.765689992e-05 3.18376249e-05 -6.22068436e-06 -4.72895014e-05 -1.64394747e-05 -9.887260043e-06 -2.915809299e-05 -1.861466293e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05     207.379575 
3            NO_ID -1.558476787e-06 1.894141418e-05 -2.242322823e-05 -1.600388967e-06 4.201601827e-05 2.762407254e-05 1.660154947e-07 1.715063379e-05 -3.281144894e-05 3.399677262e-05 5.849925499e-06 5.960445048e-06 -3.018516669e-05 -2.045285927e-05 -4.412990534e-05 3.554867482e-05 3.273793868e-06 -2.440917015e-05 2.037468767e-05 -3.579874505e-05 2.339847426e-05 -2.226147325e-06 9.182308352e-06 -6.311286186e-06 -1.567936017e-05 2.892012862e-05 3.686051904e-05 -1.198311451e-05 1.657251631e-05 3.571466769e-05 2.789634238e-05 8.46762182e-06 4.077126208e-05 -3.720043509e-05 3.195392088e-06 1.912803791e-05 -1.129982023e-05 4.335926132e-05 -5.500732995e-05 -2.293952272e-06 -1.098197601e-05 2.811194409e-05 1.385688006e-06 -6.254960022e-06 6.774017696e-06 2.05857313e-05 4.000720167e-06 -3.117149818e-05 1.032586569e-05 -1.278749633e-05 -4.975172983e-05 -1.563448961e-05 -4.496566065e-06 -2.97266382e-05 -2.297184927e-05 -1.545914832e-05 3.093220827e-05 -9.231907987e-06 -3.642350495e-05 8.74589843e-06 -1.763509244e-05 2.470011419e-05 3.989676075e-05 -4.091387987e-05 2.891184108e-05 -3.28334553e-05 -2.266514248e-05 -3.866944987e-05 4.569690312e-06 3.317234218e-05 3.647366779e-05 4.853232889e-06 3.688651426e-05 -3.760564883e-05 1.468829248e-06 4.575158162e-06 -1.660691897e-05 9.711555804e-09 -4.510858697e-05 -1.109955946e-05 3.276734374e-05 -3.220528261e-05 7.754094795e-06 -1.486650835e-05 -2.140578581e-05 2.937477011e-05 -2.197493655e-05 -8.396343215e-07 -1.97443623e-05 3.381123046e-05 2.304667531e-05 -4.526069959e-05 3.092920452e-05 -6.839037798e-06 -4.182430699e-05 -6.848893491e-06 -5.843580213e-06 -3.131094497e-05 -2.078923465e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    134.4354562 
4            NO_ID -2.278289608e-06 2.776023056e-05 -2.457687836e-05 4.037039273e-07 3.65008725e-05 2.493823322e-05 1.131800992e-05 1.728311778e-05 -2.051797923e-05 4.08254413e-05 -1.400616948e-06 1.175200872e-06 -2.721402004e-05 -2.769603185e-05 -6.147312037e-05 3.276755567e-05 9.519635197e-06 -2.606070591e-05 1.837304299e-05 -2.268432673e-05 4.152023505e-05 -4.793140963e-06 3.857021082e-06 -9.88355276e-07 -1.754873507e-05 1.085164805e-05 1.936076993e-05 -9.497039965e-06 2.225622702e-05 3.130174711e-05 2.689566119e-05 2.326861655e-05 6.089734567e-05 -3.561329579e-05 -4.534913405e-06 1.845551734e-05 -5.653180247e-06 3.751677742e-05 -7.644297726e-05 -1.839336562e-05 -1.58530586e-05 4.323646428e-05 1.220295467e-05 -1.75316469e-05 1.175947146e-05 2.491303811e-05 3.736252578e-06 -3.740916593e-05 6.710296462e-06 -8.999553135e-06 -5.004679392e-05 -2.106394269e-05 -2.538593605e-06 -2.971479379e-05 -2.540154736e-05 -1.717594978e-05 3.109176042e-05 -8.162099405e-06 -3.579525275e-05 8.83491179e-06 -1.739927588e-05 2.060034858e-05 4.259809366e-05 -3.421395039e-05 2.368821473e-05 -3.26425324e-05 -3.224866659e-05 -3.614045495e-05 1.555306299e-05 3.387533853e-05 4.246658965e-05 2.247810067e-05 4.364348785e-05 -4.285341752e-05 2.423270921e-07 6.117860764e-06 -2.783197323e-05 -1.923959675e-05 -4.719955632e-05 -6.080584763e-06 2.975374054e-05 -3.032201864e-05 2.530493626e-05 3.858023251e-06 -2.35126432e-05 2.487489891e-05 -1.762998894e-05 -2.575059275e-06 -3.686721836e-05 1.441338032e-05 2.264560902e-05 -3.951246026e-05 2.874999698e-05 -8.322404408e-06 -2.871386496e-05 1.615792923e-05 3.856793828e-06 -3.647541652e-05 -2.600580963e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    62.04908118 
5            NO_ID 5.092463439e-07 3.031101112e-05 -2.566714309e-05 -3.589321133e-06 3.495176074e-05 2.729718669e-05 1.711616662e-05 1.769902973e-05 -2.068472015e-05 3.954274896e-05 -5.124504624e-06 -3.773097987e-06 -3.046668762e-05 -3.041890061e-05 -6.401399626e-05 3.364909279e-05 1.231118464e-05 -2.296564591e-05 2.106837888e-05 -1.978608331e-05 4.341883731e-05 -6.817015223e-06 1.076249364e-06 -3.375050857e-06 -2.010769639e-05 8.161741173e-06 1.852781971e-05 -7.503998748e-06 2.39831633e-05 3.270348367e-05 2.937621058e-05 2.58030978e-05 6.134526962e-05 -3.773622441e-05 -6.011922592e-06 1.807485697e-05 -6.979254445e-06 3.477224694e-05 -7.866328004e-05 -1.692177502e-05 -1.359830571e-05 4.058164566e-05 7.808812689e-06 -1.451916288e-05 1.485176445e-05 1.71856104e-05 -9.628536457e-06 -2.262091382e-05 1.824717518e-05 -1.289299897e-05 -5.110465718e-05 -1.796817168e-05 -1.539721307e-06 -3.157703306e-05 -1.846140946e-05 -1.151117982e-05 3.16264366e-05 -1.038880332e-05 -3.747567691e-05 8.532691397e-06 -1.851121975e-05 2.409381191e-05 4.58424759e-05 -3.426068069e-05 2.01703348e-05 -3.531069433e-05 -3.115628946e-05 -3.291277752e-05 2.196441878e-05 3.791810967e-05 4.457399187e-05 2.412188514e-05 4.218650354e-05 -4.677634197e-05 -4.539554519e-06 2.342836837e-06 -3.085844394e-05 -2.112774108e-05 -4.514858162e-05 -2.635176419e-06 3.314176121e-05 -2.731323532e-05 2.788680294e-05 4.599017634e-06 -2.625678256e-05 2.191661552e-05 -2.005081122e-05 -5.34527425e-06 -3.900569623e-05 1.45519961e-05 2.521246269e-05 -3.758706745e-05 3.009110016e-05 -6.033521136e-06 -2.624934034e-05 1.670841458e-05 1.390170556e-06 -3.86450404e-05 -2.654624266e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    51.23740847 
6            NO_ID 8.544519735e-06 3.766382002e-05 -2.880990978e-05 -1.509950381e-05 3.048633438e-05 3.409704019e-05 3.382977141e-05 1.889792593e-05 -2.116536287e-05 3.58452958e-05 -1.585887938e-05 -1.803692627e-05 -3.984273649e-05 -3.826776616e-05 -7.13382542e-05 3.619018708e-05 2.035802722e-05 -1.404391226e-05 2.883787894e-05 -1.143168765e-05 4.889169522e-05 -1.265097872e-05 -6.939525635e-06 -1.025487298e-05 -2.748408693e-05 4.078906387e-07 1.612678062e-05 -1.758913722e-06 2.896118167e-05 3.674409039e-05 3.652657307e-05 3.310892279e-05 6.263644272e-05 -4.385571925e-05 -1.026950808e-05 1.697757601e-05 -1.080175894e-05 2.68609399e-05 -8.50634629e-05 -1.267980902e-05 -7.098817931e-06 3.292893956e-05 -4.857618428e-06 -5.835460477e-06 2.376552198e-05 -5.089257199e-06 -4.815350458e-05 2.000728927e-05 5.150305999e-05 -2.411613735e-05 -5.41540243e-05 -9.044388531e-06 1.339600119e-06 -3.694507204e-05 1.544038508e-06 4.817928072e-06 3.316767924e-05 -1.680743791e-05 -4.231962071e-05 7.661519318e-06 -2.171647815e-05 3.416397185e-05 5.519464166e-05 -3.439538417e-05 1.002979223e-05 -4.30018635e-05 -2.800743364e-05 -2.360876458e-05 4.044561416e-05 4.957168901e-05 5.064873072e-05 2.886021238e-05 3.798664117e-05 -5.808445458e-05 -1.832367308e-05 -8.538941852e-06 -3.958246401e-05 -2.657045328e-05 -3.923649916e-05 7.296461578e-06 4.290797512e-05 -1.864020046e-05 3.532921983e-05 6.734987374e-06 -3.416696216e-05 1.338915033e-05 -2.702900601e-05 -1.333061867e-05 -4.51700129e-05 1.495156609e-05 3.26116035e-05 -3.203698383e-05 3.39569268e-05 5.643499486e-07 -1.914517038e-05 1.82952283e-05 -5.720048895e-06 -4.489913769e-05 -2.810407983e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    37.95719785 
7            NO_ID 8.545181224e-06 3.766442533e-05 -2.88101685e-05 -1.510045136e-05 3.048596678e-05 3.409759997e-05 3.383114733e-05 1.889802462e-05 -2.116540244e-05 3.584499142e-05 -1.585976306e-05 -1.803810051e-05 -3.984350836e-05 -3.826841231e-05 -7.133885716e-05 3.619039627e-05 2.035868966e-05 -1.40431778e-05 2.883851855e-05 -1.143099989e-05 4.889214576e-05 -1.265145899e-05 -6.940185519e-06 -1.025543934e-05 -2.748469418e-05 4.072523172e-07 1.612658296e-05 -1.758440769e-06 2.896159148e-05 3.674442303e-05 3.652716171e-05 3.310952422e-05 6.263654901e-05 -4.385622303e-05 -1.026985858e-05 1.697748568e-05 -1.080207363e-05 2.686028862e-05 -8.506398978e-05 -1.267945981e-05 -7.098282873e-06 3.292830957e-05 -4.858661169e-06 -5.834745607e-06 2.376625579e-05 -5.091090936e-06 -4.815667608e-05 2.001079856e-05 5.150579772e-05 -2.411706127e-05 -5.415427533e-05 -9.043653897e-06 1.339837154e-06 -3.694551396e-05 1.54568542e-06 4.819272336e-06 3.316780612e-05 -1.680796631e-05 -4.232001947e-05 7.661447601e-06 -2.171674201e-05 3.416480086e-05 5.519541156e-05 -3.439539526e-05 1.002895743e-05 -4.300249666e-05 -2.800717442e-05 -2.360799865e-05 4.044713559e-05 4.957264837e-05 5.064923081e-05 2.886060245e-05 3.798629543e-05 -5.80853855e-05 -1.832480784e-05 -8.539837675e-06 -3.95831822e-05 -2.657090134e-05 -3.923601246e-05 7.297279182e-06 4.29087791e-05 -1.863948647e-05 3.532983251e-05 6.735163214e-06 -3.416761335e-05 1.338844832e-05 -2.702958048e-05 -1.333127605e-05 -4.517052037e-05 1.495159899e-05 3.261221262e-05 -3.203652693e-05 3.395724504e-05 5.648931061e-07 -1.914458554e-05 1.829535893e-05 -5.720634231e-06 -4.489965255e-05 -2.810420808e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    37.95719782 
8            NO_ID 1.155694936e-05 4.622502141e-05 -2.905165573e-05 -2.836304485e-05 3.161046304e-05 3.529732748e-05 4.911414634e-05 1.897250489e-05 -2.754376665e-05 3.848215274e-05 -2.022560776e-05 -3.456589512e-05 -4.836008223e-05 -3.783347315e-05 -7.529436412e-05 2.990007122e-05 2.451651267e-05 -2.39294942e-06 3.105679975e-05 -1.297392372e-05 5.312329072e-05 -1.022000059e-05 -1.376373299e-05 -1.896521682e-05 -2.685458588e-05 1.457666045e-06 1.226505789e-05 -4.625116886e-06 3.232055192e-05 4.219470875e-05 3.631717269e-05 3.081249284e-05 6.30714243e-05 -4.11382341e-05 -9.972898086e-06 1.452306386e-05 -1.202526981e-05 2.799670325e-05 -8.325784563e-05 -1.291065831e-05 -8.024470101e-06 3.359595439e-05 -3.28864176e-06 -6.728468347e-06 2.206077939e-05 -2.401006002e-06 -4.298943341e-05 1.888699355e-05 4.967295878e-05 -3.080361569e-05 -5.284424084e-05 2.436934539e-06 -1.033203032e-06 -3.403115924e-05 6.005908986e-06 6.762205109e-06 3.132636768e-05 -1.936589274e-05 -4.293919171e-05 7.696973665e-06 -2.726148872e-05 4.676504548e-05 5.849693633e-05 -3.056694894e-05 2.961793308e-06 -5.255269991e-05 -1.932037606e-05 -2.169909707e-05 5.713471929e-05 6.211697354e-05 4.975940142e-05 2.851892402e-05 4.126434301e-05 -6.372876252e-05 -3.307792048e-05 -1.482756348e-05 -3.809920401e-05 -2.871739883e-05 -4.147617455e-05 1.398862093e-05 5.367530514e-05 -1.790488856e-05 3.31277285e-05 9.133660438e-06 -3.406504818e-05 6.764655411e-06 -3.39765357e-05 -1.272132677e-05 -4.195062896e-05 1.473734762e-05 3.093675035e-05 -3.01889909e-05 3.799750263e-05 9.187911167e-07 -2.217917113e-05  1.5569274e-05 -5.404252662e-06 -4.365759829e-05 -2.766507542e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    31.23950352 
9            NO_ID 2.162888772e-05 7.485331956e-05 -2.985923599e-05 -7.271573674e-05 3.537099723e-05 3.930944961e-05 0.0001002234673 1.922158136e-05 -4.887425704e-05 4.730133309e-05 -3.48258415e-05 -8.983805458e-05 -7.684116154e-05 -3.637895203e-05 -8.852234865e-05 8.864000943e-06 3.842108141e-05 3.656767997e-05 3.84751635e-05 -1.813376107e-05 6.727306232e-05 -2.08873081e-06 -3.658300276e-05 -4.809240654e-05 -2.47473812e-05 4.970453832e-06 -6.48632935e-07 -1.421183932e-05 4.355356887e-05 6.042152415e-05 3.561492858e-05 2.313077319e-05 6.452573184e-05 -3.204875054e-05 -8.979804454e-06 6.314999969e-06 -1.611587575e-05 3.179709477e-05 -7.721774835e-05 -1.368383107e-05 -1.112182032e-05 3.582868852e-05 1.961808476e-06 -9.717250999e-06 1.635733461e-05 6.595161176e-06 -2.570916899e-05 1.512877102e-05 4.354358891e-05 -5.316475407e-05 -4.846323073e-05 4.083025498e-05 -8.969110918e-06 -2.428499028e-05  2.0921764e-05 1.325975016e-05 2.516823942e-05 -2.79200962e-05 -4.500982409e-05 7.815779734e-06 -4.580420002e-05 8.890271395e-05 6.953787724e-05 -1.77638799e-05 -2.067217793e-05 -8.449043688e-05 9.729967041e-06 -1.531535897e-05 0.0001129412445 0.0001040676365 4.678363891e-05 2.737628492e-05 5.222677163e-05 -8.260131278e-05 -8.241519833e-05 -3.585494138e-05 -3.313649235e-05 -3.589570385e-05 -4.896771223e-05 3.636576906e-05 8.968066208e-05 -1.54482503e-05 2.576346445e-05 1.715470161e-05 -3.372205028e-05 -1.538659626e-05 -5.720850498e-05 -1.068153773e-05 -3.118268589e-05 1.40208494e-05 2.533367868e-05 -2.401047109e-05 5.150890975e-05 2.102294889e-06 -3.232741551e-05 6.45271581e-06 -4.346211168e-06 -3.95039273e-05 -2.619653042e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    21.46874393 
10           NO_ID 2.162772143e-05 7.48500045e-05 -2.985914247e-05 -7.271060084e-05 3.537056178e-05 3.930898502e-05 0.000100217549 1.922155252e-05 -4.887178704e-05 4.730031186e-05 -3.482415084e-05 -8.983165425e-05 -7.683786353e-05 -3.637912046e-05 -8.852081689e-05 8.86643685e-06 3.84194713e-05 3.656316846e-05 3.847430448e-05 -1.813316357e-05 6.727142383e-05 -2.089672384e-06 -3.658036036e-05 -4.808903371e-05 -2.47476252e-05 4.970047063e-06 -6.471375724e-07 -1.421072921e-05 4.355226812e-05 6.041941355e-05 3.56150099e-05 2.313166271e-05 6.452556344e-05 -3.204980307e-05 -8.979919451e-06 6.315950435e-06 -1.611540207e-05 3.179665469e-05 -7.721844777e-05 -1.368374154e-05 -1.112146165e-05 3.582842998e-05 1.961200491e-06 -9.716904907e-06 1.635799505e-05 6.59411945e-06 -2.571116999e-05 1.512920621e-05 4.354429867e-05 -5.316216472e-05 -4.846373803e-05 4.082580916e-05 -8.968191967e-06 -2.428611886e-05 2.09200368e-05 1.325899776e-05 2.516895251e-05 -2.791910566e-05 -4.500958432e-05 7.815765977e-06 -4.580205284e-05 8.889783454e-05 6.953659874e-05 -1.776536245e-05 -2.066944119e-05 -8.44867386e-05 9.726603107e-06 -1.531609818e-05 0.0001129347823 0.0001040627787 4.67839835e-05 2.737641724e-05 5.222550222e-05 -8.25991274e-05 -8.240948523e-05 -3.585250648e-05 -3.313706702e-05 -3.589487263e-05 -4.896684473e-05 3.636317786e-05 8.967649278e-05 -1.544853477e-05 2.576431721e-05 1.71537728e-05  -3.372209e-05 -1.538403122e-05 -5.72058148e-05 -1.068177393e-05 -3.118393278e-05 1.402093236e-05 2.53343275e-05 -2.401118654e-05 5.150734517e-05 2.102157843e-06 -3.232624037e-05 6.453771477e-06 -4.346333686e-06 -3.950440828e-05 -2.619670047e-05   4.874966e-05  -4.697935e-05  -9.586034e-06  -4.458231e-05  -1.596734e-06   2.971442e-05   2.870857e-05   2.998787e-05  -4.895559e-05  -1.490791e-05   1.637175e-05   1.160415e-05  -1.311704e-05  -2.642665e-05  -3.146355e-05   2.746281e-05   3.735909e-05   4.493177e-05   4.395392e-05  -2.539858e-05   -3.81702e-05    21.46874388 
