# orbit data saved at Wed Oct 26 10:50:31 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00  -1.33558465879012e-01  -3.85799714653814e-01
  3.10909560000000e+00  -2.00164940621551e-01  -2.47129949563711e-01
  3.88442290000000e+00  -3.42055366182403e-02  -3.75457174583644e-01
  5.44372970000000e+00   2.70909282853268e-01  -2.68811048546777e-01
  6.48219120000000e+00   1.31282606882690e-01  -2.28719825093524e-01
  7.25751850000000e+00   1.93635784578004e-01  -1.13473553301562e-01
  8.81682530000000e+00   4.12364205386467e-03   9.07520671035542e-02
  9.85528680000000e+00  -1.51577704862957e-02   3.02940261696500e-02
  1.07621941000000e+01  -1.07429944111776e-01  -2.91469050327427e-01
  1.27599199000000e+01  -7.80202870262279e-01  -1.32084571952575e+00
  1.47576457000000e+01  -6.27033737255400e-01  -1.40481936933294e+00
  1.62277122000000e+01  -6.35325564345678e-01  -1.84162711318002e+00
  1.71346195000000e+01   3.03780809357728e-02  -3.11301873533430e+00
  1.91323453000000e+01  -8.34439795954317e-01  -3.58576236668712e+00
  2.11300711000000e+01  -3.92701421227924e-01  -3.03625169479727e+00
  2.26001376000000e+01   1.16654361967241e-01  -2.64518789633365e+00
  2.35070449000000e+01   1.73993091819175e+00  -3.02885484758037e+00
  2.55047707000000e+01   1.56535127968491e+00  -3.36352070803655e+00
  2.75024965000000e+01   1.08084756146173e+00  -2.29985748140092e+00
  2.89725630000000e+01   9.32447550725906e-01  -1.06343781742850e+00
  2.98794703000000e+01   1.75492854332204e+00  -8.55237330383921e-02
  3.18771961000000e+01   2.01438337931898e+00   1.74096094832363e-01
  3.38749219000000e+01   9.26918069754540e-01   1.91196798800936e-01
  3.53449884000000e+01  -1.14734520878311e-01   5.62151667418333e-01
  3.62518957000000e+01  -8.28129805554352e-01   1.03922414806507e+00
  3.82496215000000e+01  -6.90437814061388e-01   1.34765012726651e+00
  4.02473473000000e+01  -5.67975586432147e-01   1.94767105494642e-01
  4.17174138000000e+01  -1.02879278304971e+00  -6.41009978597548e-01
  4.26243211000000e+01  -1.33204942985878e+00  -1.48521889947387e+00
  4.46220468999999e+01  -1.41956566851252e+00  -1.33674263727825e+00
  4.66197726999999e+01   1.63354292080933e-01  -1.59536510746388e+00
  4.80898391999999e+01  -1.66365094963725e-01  -1.68629613419746e+00
  4.89967464999999e+01   6.53759779261717e-02  -1.63336103870856e+00
  5.09944722999999e+01   3.56945793165802e-03  -8.61342316361213e-01
  5.29921980999999e+01  -5.55252437383076e-02  -3.72194305580653e-01
  5.44622645999999e+01  -6.95237939194906e-02  -2.00251553983820e-01
  5.53691718999999e+01   2.38155630057781e-02  -2.03022926028368e-01
  5.73668976999999e+01  -7.56368872401418e-03  -3.70139005320627e-01
  5.93646234999998e+01  -4.31003013668436e-02  -6.13509535140801e-01
  6.08346899999998e+01  -1.57475402870876e-01  -5.82148892619755e-01
  6.17415972999998e+01   1.03979815765474e-02  -6.26188093171762e-01
  6.37393230999998e+01   1.32932332871572e-01  -3.64767249908703e-01
  6.57370488999998e+01   3.79128169025012e-01  -3.46742792931386e-01
  6.72071153999998e+01   2.44464160818213e-01  -5.00213820189498e-01
  6.81140226999998e+01   2.66467803781263e-01  -5.25015880746300e-01
  7.01117484999998e+01  -6.38000727600383e-02  -4.12891463525198e-01
  7.21094742999998e+01  -1.40311106325419e-01  -1.69433396997127e-01
  7.35795407999999e+01  -4.63042571074075e-02  -1.27943903141720e-01
  7.44864480999999e+01   6.84936249807423e-02  -2.04713195614467e-01
  7.64841738999999e+01   5.23931127475355e-02  -4.44651253682838e-01
  7.84818996999999e+01  -1.42261494700384e-01  -6.48781855409447e-01
  7.99519661999999e+01  -3.46921050541542e-01  -5.45302149824293e-01
  8.42514661999999e+01   6.01103871752943e-02   1.39813973238384e+00
  8.55999661999999e+01   3.03046305258717e-01   8.17019931992890e-01
  9.02926781999999e+01  -4.27673876704857e-02  -1.38232864716374e+00
  9.25673881999998e+01  -1.72136209997765e-01  -8.33873970542084e-01
  9.92230671999998e+01   2.50311536670700e-01   4.99539992311350e-01
  1.00866973200000e+02   3.77956440440427e-01   2.98427939265898e-01
  1.08848651200000e+02  -7.58001143680263e-01  -6.01233236816568e-01
  1.10022151200000e+02  -3.57941077864138e-01  -5.85943024080498e-01
  1.12402151200000e+02   1.41391790528369e-01   3.85040839963220e-01
  1.15386501200000e+02   4.17436826640981e-01   9.53485839248173e-01
  1.18925531200000e+02   3.97072951310951e-01   7.03693986421798e-01
  1.24588799200000e+02  -2.06069218332143e-01  -1.65210255360326e+00
  1.26004954200000e+02  -5.65876667685740e-01  -9.98600103946017e-01
  1.29806844200000e+02  -2.69941047263481e+00  -9.01643534304629e-01
  1.34224590200000e+02  -2.57568075087892e+00  -1.98225211202512e-01
  1.37878480200000e+02  -6.54610031118834e-01   1.76746149334763e+00
  1.41242740200000e+02  -8.01238636511726e-01   2.53642165657135e+00
  1.46341150200000e+02  -5.76073496272641e-01  -2.05339388506449e+00
  1.47697646200000e+02  -6.78165084225727e-01  -1.30434678737902e+00
  1.54032200200000e+02   6.46739410323539e-01  -1.75671428727952e+00
  1.56731200200000e+02   8.55058008261226e-01  -3.09547992717611e-01
  1.57829700200000e+02   4.40629837386699e-01   9.68987137608895e-01
