# orbit data saved at Tue Nov  8 14:26:08 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   1.05145601096203e-01  -2.65244264274120e-01
  3.10909560000000e+00   2.29600167718636e-02  -1.34247406994266e-01
  3.88442290000000e+00   1.71740979594636e-01  -5.03275243466923e-02
  5.44372970000000e+00   1.13599751236760e-01  -1.88082288179325e-03
  6.48219120000000e+00  -7.59042555223365e-03   1.93382862413132e-02
  7.25751850000000e+00  -9.68494032062036e-02   5.91026765191079e-02
  8.81682530000000e+00   9.61240110690048e-02  -2.14578822792384e-01
  9.85528680000000e+00   4.52309823160908e-02  -2.79183456128725e-01
  1.07621941000000e+01   2.05903390389867e-01  -5.80235669359716e-01
  1.27599199000000e+01   1.34211134519394e-01  -9.85330746414400e-01
  1.47576457000000e+01   1.52966480382201e-02  -1.14712684367863e+00
  1.62277122000000e+01  -2.48344499392360e-01  -1.03087253880752e+00
  1.71346195000000e+01   1.95150868011163e-01  -1.41878774657353e+00
  1.91323453000000e+01  -1.90504580543503e-02  -1.48864068538827e+00
  2.11300711000000e+01  -2.18974885710299e-02  -1.39145389205016e+00
  2.26001376000000e+01  -2.35820159564926e-01  -1.10838925278234e+00
  2.35070449000000e+01   2.11438368298073e-01  -1.21133544092513e+00
  2.55047707000000e+01   1.08084115209097e-01  -1.08919324749888e+00
  2.75024965000000e+01   2.01843837279333e-02  -9.18215409505060e-01
  2.89725630000000e+01  -1.47850947475034e-01  -6.53597114972904e-01
  2.98794703000000e+01   1.08905582506070e-01  -6.43375464477515e-01
  3.18771961000000e+01   1.17476334671604e-01  -5.85585098894679e-01
  3.38749219000000e+01   3.39986346185271e-02  -6.09909330089384e-01
  3.53449884000000e+01  -1.18575285761491e-01  -4.53150581988989e-01
  3.62518957000000e+01   4.52351267906958e-02  -4.49151524806787e-01
  3.82496215000000e+01   1.43304029820626e-01  -3.72435034538735e-01
  4.02473473000000e+01   1.92492469890150e-01  -4.40392974594404e-01
  4.17174138000000e+01   3.99118802540497e-02  -3.87620557113390e-01
  4.26243211000000e+01   1.38140429727771e-01  -3.55485530112021e-01
  4.46220468999999e+01   1.53909325857898e-01  -2.15228488098664e-01
  4.66197726999999e+01   2.19368586891989e-01  -1.88314059025060e-01
  4.80898391999999e+01   1.36069908388177e-01  -1.96636631193789e-01
  4.89967464999999e+01   1.67430669791832e-01  -1.76078880625427e-01
  5.09944722999999e+01   1.03465361975749e-01  -9.38258245099419e-02
  5.29921980999999e+01   1.02192422050482e-01  -4.26536844824539e-02
  5.44622645999999e+01   6.59297633924588e-02  -6.51517887924115e-02
  5.53691718999999e+01   6.71113780816545e-02  -9.26136272167854e-02
  5.73668976999999e+01  -1.96937070092289e-02  -6.31989751928256e-02
  5.93646234999998e+01  -1.25757329564889e-02  -1.90131846643660e-03
  6.08346899999998e+01   2.12933043691459e-02  -3.34187386458718e-02
  6.17415972999998e+01   5.45031077976545e-02  -9.91094013862273e-02
  6.37393230999998e+01  -5.01553870895943e-02  -1.63200501209104e-01
  6.57370488999998e+01  -1.47376469271621e-01  -6.53491139864982e-02
  6.72071153999998e+01  -7.80512424534433e-02   4.94247021089493e-02
  6.81140226999998e+01   1.78600669566350e-03   4.10776026290736e-02
  7.01117484999998e+01   7.41241921686767e-02  -2.99059483163841e-02
  7.21094742999998e+01  -6.60149537920541e-02  -5.00375471957952e-02
  7.35795407999999e+01  -1.33721224195192e-01   5.25194152458290e-02
  7.44864480999999e+01  -1.44477298148788e-01   6.98759321782204e-02
  7.64841738999999e+01   1.06791051979098e-03  -2.30770006843180e-02
  7.84818996999999e+01  -3.04189853862214e-02  -3.95299062041435e-01
  7.99519661999999e+01  -3.14944820086261e-01  -4.68214281519701e-01
  8.42514661999999e+01   5.13486242519095e-02   1.53711218887146e+00
  8.55999661999999e+01   5.24091448596040e-01   8.74782114834988e-01
  9.02926781999999e+01   3.90370953753755e-02  -1.48943042795416e+00
  9.25673881999998e+01  -3.10778091401128e-01  -8.52411509041674e-01
  9.92230671999998e+01   3.22156824503118e-01   6.70560608935332e-01
  1.00866973200000e+02   5.59121535187270e-01   3.81995057744441e-01
  1.08848651200000e+02  -7.54580234190652e-01  -6.39012453951837e-01
  1.10022151200000e+02  -3.78195220065748e-01  -6.34218819308525e-01
  1.12402151200000e+02   5.70418396422113e-02   3.89924943790419e-01
  1.15386501200000e+02   3.37870924616053e-01   1.01042874289863e+00
  1.18925531200000e+02   4.33345429846360e-01   7.69770248371794e-01
  1.24588799200000e+02  -2.63863805297838e-01  -1.38658033840493e+00
  1.26004954200000e+02  -7.84183648306486e-01  -8.63566052911949e-01
  1.29806844200000e+02  -2.58468060937868e+00  -9.20455581066493e-01
  1.34224590200000e+02  -2.55185793460649e+00  -2.66993542259131e-01
  1.37878480200000e+02  -7.48050672073195e-01   1.70224440039566e+00
  1.41242740200000e+02  -8.36779429202872e-01   2.49873054152613e+00
  1.46341150200000e+02  -4.89059173394269e-01  -1.96563990035833e+00
  1.47697646200000e+02  -5.12795674248650e-01  -1.26203870948074e+00
  1.54032200200000e+02   6.66451167799669e-01  -1.83178921025312e+00
  1.56731200200000e+02   7.33554426329486e-01  -3.36685951177544e-01
  1.57829700200000e+02   3.48131042890337e-01   9.98064635286530e-01
