# orbit data saved at Tue Nov  8 10:43:31 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   2.49332475441658e+00  -7.00881742020476e-01
  3.10909560000000e+00   1.34075434453071e+00  -1.68155683651336e+00
  3.88442290000000e+00   1.35936063584753e+00  -1.45640927245367e+00
  5.44372970000000e+00   1.87347365707279e+00   2.20982683459998e+00
  6.48219120000000e+00   2.02380031269709e+00   1.90051198978415e-01
  7.25751850000000e+00   9.79739891658944e-01  -5.08307963241029e-01
  8.81682530000000e+00  -7.94052404562023e-01   7.73205548763099e-01
  9.85528680000000e+00   1.11867422900048e+00  -2.72184214231357e-01
  1.07621941000000e+01   2.97415064446293e+00  -2.57123101404488e+00
  1.27599199000000e+01   1.60121189085473e+00  -2.82502202877990e+00
  1.47576457000000e+01   4.15141367113516e+00  -1.56416563605212e+00
  1.62277122000000e+01   4.40014680700943e+00  -3.87298992926814e+00
  1.71346195000000e+01   6.16132353309951e+00  -4.22346003616738e+00
  1.91323453000000e+01   4.47026001169270e+00  -4.65699606369791e+00
  2.11300711000000e+01   5.21175445808581e+00  -3.37846461079831e+00
  2.26001376000000e+01   4.69898733341633e+00  -3.98473467258569e+00
  2.35070449000000e+01   6.13431510142624e+00  -2.93327459594899e+00
  2.55047707000000e+01   5.14819640773938e+00  -2.06960331430211e+00
  2.75024965000000e+01   6.01153169933367e+00  -6.82908995806005e-01
  2.89725630000000e+01   5.51094450679046e+00  -2.00684105526812e+00
  2.98794703000000e+01   5.69278002821127e+00  -8.98843089413904e-01
  3.18771961000000e+01   3.88306617855713e+00  -4.75487189530737e-01
  3.38749219000000e+01   4.37955426333620e+00   4.90627255544263e-01
  3.53449884000000e+01   4.51468134656525e+00  -1.22832515362606e+00
  3.62518957000000e+01   4.63312305595720e+00  -9.55381830117482e-01
  3.82496215000000e+01   3.38535366498541e+00  -1.31237225840592e+00
  4.02473473000000e+01   4.47519175210233e+00  -7.61840228898461e-01
  4.17174138000000e+01   4.71845442013089e+00  -2.21526885399600e+00
  4.26243211000000e+01   5.39387519420130e+00  -1.68506565305620e+00
  4.46220468999999e+01   4.43287095648049e+00  -1.28872420315690e+00
  4.66197726999999e+01   5.74430174914085e+00   2.30735663802274e-02
  4.80898391999999e+01   5.99393009662283e+00  -1.42869253511873e+00
  4.89967464999999e+01   6.27335629370824e+00  -4.67822479679454e-01
  5.09944722999999e+01   4.77966622220174e+00  -3.78590029015594e-01
  5.29921980999999e+01   5.08898881240250e+00   5.46805410102381e-01
  5.44622645999999e+01   5.45020943217486e+00  -7.96713662477688e-01
  5.53691718999999e+01   5.66009113883277e+00  -2.24768986222481e-01
  5.73668976999999e+01   4.59215080870159e+00  -7.17226940891505e-01
  5.93646234999998e+01   5.15507184517650e+00  -1.82184895136467e-01
  6.08346899999998e+01   5.46437667644079e+00  -1.57756677824119e+00
  6.17415972999998e+01   5.91388047330534e+00  -9.64770647799290e-01
  6.37393230999998e+01   4.81410853527442e+00  -1.05283768130822e+00
  6.57370488999998e+01   5.50342950969256e+00   4.00904645928126e-01
  6.72071153999998e+01   6.39575238601219e+00  -5.85582139423674e-01
  6.81140226999998e+01   6.99205347378631e+00   4.25686278940044e-01
  7.01117484999998e+01   5.93985250366389e+00  -2.95082236896685e-01
  7.21094742999998e+01   4.61792517941594e+00   1.23740655844888e+00
  7.35795407999999e+01   4.81990937622327e+00   2.02126252800771e+00
  7.44864480999999e+01   4.73596278758949e+00   3.89742872296243e+00
  7.64841738999999e+01   5.36122319228696e+00   3.59898916215824e+00
  7.84818996999999e+01   4.21604782586837e+00   2.70713134483649e+00
  7.99519661999999e+01   2.42698616116994e+00   1.79526569547860e+00
  8.42514661999999e+01   8.57400903450586e-02  -4.72878837939256e+00
  8.55999661999999e+01   6.72632340439379e-01  -3.20504125816568e+00
  9.02926781999999e+01   7.48934207318533e-03   5.24608857491265e+00
  9.25673881999998e+01  -3.93926610993585e-01   4.03252050404877e+00
  9.92230671999998e+01   4.55222064094759e-01  -2.55287590180110e+00
  1.00866973200000e+02   7.53234250232292e-01  -2.77258457538107e+00
  1.08848651200000e+02  -1.17823271009047e+00  -6.44012447962894e+00
  1.10022151200000e+02  -5.76202576627267e-01  -4.04248458512013e+00
  1.12402151200000e+02   1.43908251736509e-01   7.88935305874148e+00
  1.15386501200000e+02   5.78456128829850e-01   1.07924558882403e+01
  1.18925531200000e+02   6.51706862483895e-01   3.27579172738027e+00
  1.24588799200000e+02  -3.73536550464898e-01  -2.59832285110397e+01
  1.26004954200000e+02  -1.07976776298582e+00  -1.41642777891358e+01
  1.29806844200000e+02  -2.39512596619081e+00  -4.30642105395171e+00
  1.34224590200000e+02  -2.64628386360777e+00   2.94137631491883e+00
  1.37878480200000e+02  -6.76234113777689e-01   1.45707768376652e+01
  1.41242740200000e+02  -6.80124829012528e-01   1.75393765358367e+01
  1.46341150200000e+02  -2.88514629732939e-01  -1.76944044234147e+01
  1.47697646200000e+02  -2.27985898173789e-01  -1.03988880457583e+01
  1.54032200200000e+02   5.25293408467208e-01  -3.07385249812564e-01
  1.56731200200000e+02   4.44577243865388e-01   1.70975228213775e+00
  1.57829700200000e+02   1.82941771620675e-01   1.77479880302856e+00
