# orbit data saved at Tue Nov  8 10:32:45 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   1.21035679864359e-01  -3.08735709128206e-01
  3.10909560000000e+00   5.36565007463300e-02  -1.29929475496257e-01
  3.88442290000000e+00   2.58781008757244e-01   9.67137577482003e-03
  5.44372970000000e+00   1.24041430461995e-01   2.87982582571169e-02
  6.48219120000000e+00  -6.68150797799369e-02   7.09500256456869e-02
  7.25751850000000e+00  -2.42075583551659e-01   1.40007567613075e-01
  8.81682530000000e+00   9.62011691808298e-02  -2.71151986552545e-01
  9.85528680000000e+00   1.54785137725579e-02  -3.94052947922954e-01
  1.07621941000000e+01   1.85666381819445e-01  -7.69617659027012e-01
  1.27599199000000e+01   2.91372940952983e-01  -9.56287218420429e-01
  1.47576457000000e+01   1.77680638385495e-01  -1.25839442016052e+00
  1.62277122000000e+01  -2.25085078258301e-01  -1.08810269630331e+00
  1.71346195000000e+01   2.00839964948044e-01  -1.37280207656283e+00
  1.91323453000000e+01   8.96840561655295e-02  -1.37394499276261e+00
  2.11300711000000e+01   9.66528103723302e-02  -1.44009513790450e+00
  2.26001376000000e+01  -2.71510627129643e-01  -1.21827416697861e+00
  2.35070449000000e+01   1.05029927707379e-01  -1.32545260573660e+00
  2.55047707000000e+01   4.03145968539600e-02  -1.05746270171441e+00
  2.75024965000000e+01   2.02385799591942e-01  -9.49494455447533e-01
  2.89725630000000e+01   2.38109207012789e-02  -8.84415607287171e-01
  2.98794703000000e+01   2.91715649740694e-01  -9.40442444839264e-01
  3.18771961000000e+01   1.05474725744890e-01  -7.86555474851910e-01
  3.38749219000000e+01   1.51962373155749e-01  -5.44682033120452e-01
  3.53449884000000e+01   1.85918518275773e-01  -4.21530092230264e-01
  3.62518957000000e+01   4.35219944661529e-01  -3.92136971826146e-01
  3.82496215000000e+01   3.66934266708618e-01  -4.38607940734515e-01
  4.02473473000000e+01   1.79732848695269e-01  -3.45789266669589e-01
  4.17174138000000e+01   6.49105045268947e-02  -1.73363429474456e-01
  4.26243211000000e+01   1.51170362663243e-01  -7.84706373500792e-02
  4.46220468999999e+01   2.45487293134631e-01  -7.59629575991923e-02
  4.66197726999999e+01   2.00562759758907e-01  -2.39843285481552e-01
  4.80898391999999e+01   1.32248674829722e-02  -2.72408677899007e-01
  4.89967464999999e+01   1.45322001323517e-02  -2.83291696282286e-01
  5.09944722999999e+01   2.15916680223047e-02  -1.34002290269830e-01
  5.29921980999999e+01   2.15413947202762e-01  -9.85036933893561e-02
  5.44622645999999e+01   2.53155742446151e-01  -2.04475737457804e-01
  5.53691718999999e+01   3.20994598119213e-01  -2.41890440426644e-01
  5.73668976999999e+01   1.36582209824343e-01  -2.15827966284087e-01
  5.93646234999998e+01   5.34373293276692e-02   1.66265602468219e-02
  6.08346899999998e+01   1.13589091961886e-01   1.06040242426424e-01
  6.17415972999998e+01   1.50769328149439e-01   1.37890517036246e-01
  6.37393230999998e+01   1.20307441289596e-01   4.37967826929150e-02
  6.57370488999998e+01  -5.70186337800179e-02  -1.02351786414650e-02
  6.72071153999998e+01  -1.38900523541446e-01   2.06356743331145e-02
  6.81140226999998e+01  -1.65503043519339e-01  -1.91451135353480e-02
  7.01117484999998e+01  -1.38120921141580e-01  -3.92078972491937e-02
  7.21094742999998e+01  -9.52306516299096e-02  -1.12550667146444e-01
  7.35795407999999e+01  -6.51998978792558e-02  -1.36634076357582e-01
  7.44864480999999e+01   7.74477834318368e-03  -2.06819577882476e-01
  7.64841738999999e+01   9.62166913185279e-02  -2.74070255652529e-01
  7.84818996999999e+01   1.63309107591907e-01  -3.93231794747987e-01
  7.99519661999999e+01   3.80163032118294e-02  -4.02093204218768e-01
  8.42514661999999e+01   1.40677735474990e-01   1.32641256769772e+00
  8.55999661999999e+01   8.67680090729613e-02   8.14187081205842e-01
  9.02926781999999e+01  -1.05596540287303e-01  -1.00648160857298e+00
  9.25673881999998e+01   2.42368633707114e-01  -6.31105883629424e-01
  9.92230671999998e+01   2.74239705364363e-02   9.80914505940017e-01
  1.00866973200000e+02   7.00368998289361e-02   6.61865720264205e-01
  1.08848651200000e+02   4.26826619426193e-02  -3.94337047623955e-03
  1.10022151200000e+02  -3.45856303456892e-02   1.80500894041571e-02
  1.12402151200000e+02  -2.17498630295258e-01   3.94244939710289e-02
  1.15386501200000e+02  -2.13813479755106e-01   2.40878959904041e-01
  1.18925531200000e+02   2.46421396328570e-01   7.09434002492605e-01
  1.24588799200000e+02  -1.84478504081112e-01   1.94213438341708e+00
  1.26004954200000e+02  -7.67513133468366e-01   1.13309345215316e+00
  1.29806844200000e+02  -2.33862131515586e+00   1.30839004667919e+00
  1.34224590200000e+02  -2.27994773772679e+00   5.24689973674870e-01
  1.37878480200000e+02  -7.01508820396609e-01  -1.94360164368188e+00
  1.41242740200000e+02  -7.00556862568754e-01  -2.52605970014320e+00
  1.46341150200000e+02  -9.83559520412811e-02   3.02050610020549e+00
  1.47697646200000e+02   4.27697515763442e-02   1.79720132148408e+00
  1.54032200200000e+02   3.38956957841598e-02  -8.74531707574016e-01
  1.56731200200000e+02  -3.87298057777530e-01  -4.11182947204363e-01
  1.57829700200000e+02  -1.79086165429401e-01   3.49190073074058e-01
