# orbit data saved at Fri Nov 18 17:20:19 2016
#       zpos [m]                x [mm]                 y [mm]        
  0.00000000000000e+00   3.34445119547524e-03   8.31068261549268e-03
  7.20000000000000e-02   4.26902780791590e-03   8.27448254117139e-03
  2.07064000000000e-01   6.00343080211985e-03   8.20657522397513e-03
  4.47064000000000e-01   9.81567830034002e-03  -5.28986229772643e-03
  5.11327000000000e-01   1.11036224421554e-02  -1.72675618534974e-02
  5.11327000000000e-01   1.11036224421554e-02  -1.72675618534974e-02
  5.67207000000000e-01   1.22235564421965e-02  -2.76827906971007e-02
  6.43330000000000e-01   1.37491959533834e-02  -4.18710237905441e-02
  7.43330000000000e-01  -5.86594532750832e-03  -5.91793219555128e-02
  7.43330000000000e-01  -5.86594532750832e-03  -5.91793219555128e-02
  7.43330000000000e-01  -5.86594532750832e-03  -5.91793219555128e-02
  8.43330000000000e-01  -3.20045324184279e-02  -5.97112245646487e-02
  9.19453000000000e-01  -3.52395207981752e-02  -6.16591961674592e-02
  9.86723000000000e-01  -3.80982844872783e-02  -6.33806213572318e-02
  1.22672300000000e+00  -5.26547565388579e-02  -9.19793593913082e-02
  1.76636900000000e+00  -9.91023456345734e-02  -2.52517334849226e-01
  2.00636900000000e+00  -1.29446545389933e-01  -3.64190666028597e-01
  2.07063200000000e+00  -1.41555616300226e-01  -4.13064755701379e-01
  2.07063200000000e+00  -1.41555616300226e-01  -4.13064755701379e-01
  2.12651200000000e+00  -1.52085079326650e-01  -4.55563302780025e-01
  2.20263500000000e+00  -1.66428928896452e-01  -5.13457305988110e-01
  2.30263500000000e+00  -3.55367168512185e-01  -4.62779995023905e-01
  2.30263500000000e+00  -3.55367168512185e-01  -4.62779995023905e-01
  2.30263500000000e+00  -3.55367168512185e-01  -4.62779995023905e-01
  2.40263500000000e+00  -4.66964526556204e-01  -3.02149944184450e-01
  2.47875800000000e+00  -4.24872073543343e-01  -2.79807781280261e-01
  2.54602800000000e+00  -3.87674914811092e-01  -2.60063981133593e-01
  2.78602800000000e+00  -2.80423866937217e-01  -2.18469515101102e-01
  2.92109200000000e+00  -2.43319290310851e-01  -2.28526129350268e-01
  2.99309200000000e+00  -2.23539559834200e-01  -2.33887115445305e-01
  3.10909200000000e+00  -1.91672216288484e-01  -2.42524259709530e-01
  3.10909200000000e+00  -1.91672216288484e-01  -2.42524259709530e-01
  3.18309200000000e+00  -1.71343048854149e-01  -2.48034162084984e-01
  3.27409200000000e+00  -1.46343667279493e-01  -2.54809852843988e-01
  3.27409200000000e+00  -1.46343667279493e-01  -2.54809852843988e-01
  3.37309200000000e+00  -1.19146537874098e-01  -2.62181208724663e-01
  3.44509200000000e+00  -9.93668073974468e-02  -2.67542194819699e-01
  3.58015600000000e+00  -6.22622307710805e-02  -2.77598809068865e-01
  3.82015600000000e+00   8.67266455252111e-04  -3.21549232262557e-01
  3.88441900000000e+00   1.67328159919024e-02  -3.50132554944177e-01
  3.88441900000000e+00   1.67328159919024e-02  -3.50132554944177e-01
  3.94029900000000e+00   3.05287313414507e-02  -3.74987231374611e-01
  4.01642200000000e+00   4.93223330621677e-02  -4.08845723391681e-01
  4.11642200000000e+00  -7.97170794629826e-02  -4.26652352331145e-01
  4.11642200000000e+00  -7.97170794629826e-02  -4.26652352331145e-01
  4.11642200000000e+00  -7.97170794629826e-02  -4.26652352331145e-01
  4.21642200000000e+00  -1.90344046561924e-01  -3.57500459030999e-01
  4.29254500000000e+00  -1.58092790338646e-01  -3.27860009281880e-01
  4.35981500000000e+00  -1.29592310770844e-01  -3.01666702993067e-01
  4.59981500000000e+00  -3.34169250126896e-02  -2.32934234941663e-01
  5.13946100000000e+00   1.61887918612839e-01  -2.12209747686193e-01
  5.37946100000000e+00   2.58158943768055e-01  -2.22572448395437e-01
  5.44372400000000e+00   2.89890149427056e-01  -2.39465566005664e-01
  5.44372400000000e+00   2.89890149427056e-01  -2.39465566005664e-01
  5.49960400000000e+00   3.17482072807928e-01  -2.54155004906112e-01
  5.57572700000000e+00   3.55069402505891e-01  -2.74165816599362e-01
  5.67572700000000e+00   2.68077353875368e-01  -3.95469583750112e-01
  5.67572700000000e+00   2.68077353875368e-01  -3.95469583750112e-01
  5.67572700000000e+00   2.68077353875368e-01  -3.95469583750112e-01
  5.77572700000000e+00   1.24342523057130e-01  -4.36020640574358e-01
