# orbit data saved at Tue Nov  8 14:56:53 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   7.74582337897787e-03  -1.21850713450109e-01
  3.10909560000000e+00  -1.94131374492440e-02  -7.56744080473315e-02
  3.88442290000000e+00   5.75658265844990e-02  -1.14672085874967e-01
  5.44372970000000e+00   1.27644480521946e-01  -1.30711607579184e-01
  6.48219120000000e+00   5.12480348432270e-02  -9.30701495245266e-02
  7.25751850000000e+00   9.11428397225948e-02  -4.49693609909802e-02
  8.81682530000000e+00   2.10537036223655e-01  -8.39651580446075e-02
  9.85528680000000e+00   1.59942644100286e-01  -8.43097131072268e-02
  1.07621941000000e+01   2.45953043256689e-01  -1.90721486303469e-01
  1.27599199000000e+01   1.14786836065857e-01  -3.36840878782852e-01
  1.47576457000000e+01  -6.14598158062086e-02  -2.91132134394989e-01
  1.62277122000000e+01  -1.83168291963106e-01  -2.95167988744973e-02
  1.71346195000000e+01  -8.78526489363924e-02  -1.02771843616640e-01
  1.91323453000000e+01  -7.40745325202384e-02   2.79531001915155e-02
  2.11300711000000e+01  -5.72739228500590e-03   8.57296549797054e-02
  2.26001376000000e+01   1.30190668652028e-02   1.01079788011633e-01
  2.35070449000000e+01   2.63200548388381e-02   1.75878818978371e-02
  2.55047707000000e+01  -3.59796901997865e-02  -2.37518549812300e-02
  2.75024965000000e+01  -6.75648697250575e-02  -1.39325308954306e-02
  2.89725630000000e+01  -5.69385334852985e-02   4.98738732601506e-02
  2.98794703000000e+01  -1.49230428508141e-02  -7.43728536949702e-03
  3.18771961000000e+01   2.62666207945388e-02   1.43850362269294e-02
  3.38749219000000e+01   6.47607029525964e-02   2.43015858422023e-02
  3.53449884000000e+01   4.23399375922188e-02   3.02011541811645e-02
  3.62518957000000e+01   4.19511704102155e-02   6.09302087316897e-03
  3.82496215000000e+01  -1.97861247097413e-02   4.31924139972162e-02
  4.02473473000000e+01  -2.93851226484122e-02   9.54784246614853e-02
  4.17174138000000e+01   4.89513019199956e-03   9.28985174204144e-02
  4.26243211000000e+01   9.60698118386113e-03   3.54466200858325e-02
  4.46220468999999e+01  -1.77299586121996e-02  -7.90099648180992e-03
  4.66197726999999e+01  -4.55670554518396e-02   7.10715617447629e-03
  4.80898391999999e+01  -2.77014516471842e-02   4.34894171547540e-02
  4.89967464999999e+01  -2.98711683069916e-04   1.15519718320595e-02
  5.09944722999999e+01   2.88951521980243e-03   2.84459857248990e-03
  5.29921980999999e+01  -2.48634315096594e-02   2.86627971638584e-02
  5.44622645999999e+01  -1.33252807333647e-02   5.63417017337061e-02
  5.53691718999999e+01   5.13152630781887e-05   3.12848373427017e-02
  5.73668976999999e+01   5.13019304927496e-03   1.12814302941945e-02
  5.93646234999998e+01  -2.68705307607718e-02   1.37441981444273e-02
  6.08346899999998e+01  -3.35363216887631e-02   4.13357565804253e-02
  6.17415972999998e+01  -2.75383369954355e-02   2.01090761704785e-02
  6.37393230999998e+01  -2.31015973442095e-02   1.91885311859772e-02
  6.57370488999998e+01  -3.71760355000091e-02   1.25182551569703e-02
  6.72071153999998e+01  -3.00934509507566e-02   1.79573213376428e-02
  6.81140226999998e+01  -1.43577987677290e-02  -1.82518556571227e-02
  7.01117484999998e+01   2.29117219586070e-02  -3.33609637257411e-02
  7.21094742999998e+01   3.49700872946257e-02  -3.16387122294897e-02
  7.35795407999999e+01  -1.13003795019226e-02   2.27299150114972e-02
  7.44864480999999e+01  -2.70666080438072e-02   5.29854873036608e-02
  7.64841738999999e+01  -5.79894569104072e-02   1.74128252127155e-01
  7.84818996999999e+01  -4.39715717032319e-02   3.70186287160219e-02
  7.99519661999999e+01  -1.99988259794975e-01  -4.13105486462119e-01
  8.42514661999999e+01   4.73512642879963e-02   1.07461477781523e+00
  8.55999661999999e+01   5.15219287937046e-01   8.98244044346471e-01
  9.02926781999999e+01   4.50953921670721e-02  -1.41171219084425e+00
  9.25673881999998e+01  -3.06295030847619e-01  -1.38264095150967e+00
  9.92230671999998e+01   3.10118677059264e-01  -5.54588451221626e-01
  1.00866973200000e+02   5.44036024023853e-01   1.42387135656310e-02
  1.08848651200000e+02  -7.08726772109910e-01   5.83759577606562e-01
  1.10022151200000e+02  -3.57472611845938e-01   3.42870903141489e-01
  1.12402151200000e+02   4.49281608737225e-02  -7.54826407165288e-01
  1.15386501200000e+02   3.09315031507986e-01  -9.84380435533197e-01
  1.18925531200000e+02   4.10944453271398e-01  -2.51989018909972e-01
  1.24588799200000e+02  -2.53895878920730e-01  -4.24651115348666e-01
  1.26004954200000e+02  -7.59346183964803e-01  -2.58612702970250e-01
  1.29806844200000e+02  -2.60142774606479e+00  -2.38879220756416e-01
  1.34224590200000e+02  -2.54089027458724e+00  -5.38909456116479e-02
  1.37878480200000e+02  -7.58834101474201e-01   4.67949019157626e-01
  1.41242740200000e+02  -8.54845922609062e-01   6.73871791090753e-01
  1.46341150200000e+02  -5.07891422784599e-01  -5.36766192014946e-01
  1.47697646200000e+02  -5.38186000271069e-01  -3.46023787727375e-01
  1.54032200200000e+02   6.82331275501629e-01  -1.30993500081235e+00
  1.56731200200000e+02   7.60816819843729e-01  -3.66666750423022e-01
  1.57829700200000e+02   3.62968115891512e-01   5.96064730055799e-01
