# orbit data saved at Tue Nov  8 14:40:15 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00  -3.10194322936372e-01  -1.38875530728087e-01
  3.10909560000000e+00  -8.15672758328310e-02  -7.79462103735763e-02
  3.88442290000000e+00   2.10244504251307e-01  -3.36704897046358e-01
  5.44372970000000e+00   2.43093589262456e-01  -2.86613643062787e-01
  6.48219120000000e+00  -3.42930077367090e-01   1.34319869300171e-01
  7.25751850000000e+00  -7.72811613648586e-01   6.34952515853693e-01
  8.81682530000000e+00   3.07761462071688e-01  -1.17547553975047e-01
  9.85528680000000e+00  -1.22796400504383e-01  -6.87166266267623e-01
  1.07621941000000e+01  -4.57698578456980e-01  -1.36481381865356e+00
  1.27599199000000e+01   1.34465463329474e-01  -8.27675305010200e-01
  1.47576457000000e+01   8.80345456065580e-01  -1.13748845967764e+00
  1.62277122000000e+01   7.11255270944533e-01  -7.31713743320347e-01
  1.71346195000000e+01   1.42492067148214e+00  -2.61888910983368e-01
  1.91323453000000e+01   1.23969436903737e+00  -9.41226478832631e-01
  2.11300711000000e+01   6.06260085825948e-02  -1.10434896167705e+00
  2.26001376000000e+01  -4.16923550093577e-01  -4.34890407421648e-01
  2.35070449000000e+01  -1.92293453471839e-01  -2.57673570215308e-01
  2.55047707000000e+01   4.52494983591493e-01  -3.83179791256766e-01
  2.75024965000000e+01   4.45638217965570e-01  -1.26157908890053e+00
  2.89725630000000e+01  -2.84088860898244e-01  -1.25639606406555e+00
  2.98794703000000e+01  -1.68291222817521e-01  -1.26888130074321e+00
  3.18771961000000e+01   1.08029089885144e-01  -5.87749228498802e-01
  3.38749219000000e+01   9.81126687893865e-01  -6.72877744040097e-01
  3.53449884000000e+01   7.18043292124609e-01  -1.08898203285809e+00
  3.62518957000000e+01   8.26489926374302e-01  -1.07675048569050e+00
  3.82496215000000e+01   1.99854364515626e-01  -4.46975534399766e-01
  4.02473473000000e+01   5.37226659200445e-01   3.89352177902682e-01
  4.17174138000000e+01   8.44940216971298e-01   1.26903996798347e-01
  4.26243211000000e+01   8.62209662062489e-01   9.41461880786090e-02
  4.46220468999999e+01   9.59830086754848e-02  -2.05182058437572e-01
  4.66197726999999e+01  -4.49977982204231e-01   2.50244613368227e-01
  4.80898391999999e+01  -9.37101355132360e-02   4.38749939428683e-01
  4.89967464999999e+01   7.05006871529239e-02   3.10645716959650e-01
  5.09944722999999e+01   2.63835771401237e-01  -4.02150938481182e-01
  5.29921980999999e+01  -1.52569407471519e-01  -8.56969336653924e-01
  5.44622645999999e+01  -4.09425952419198e-01  -6.12086742463889e-01
  5.53691718999999e+01  -2.24735102361398e-01  -5.73271589529052e-01
  5.73668976999999e+01   3.48109553348403e-01  -2.82005286930977e-01
  5.93646234999998e+01   9.27133273830117e-01  -5.35278779369720e-01
  6.08346899999998e+01   6.66562716568264e-01  -8.17341597979269e-01
  6.17415972999998e+01   6.88684008186081e-01  -7.15444303856953e-01
  6.37393230999998e+01   2.68221944884068e-01  -1.48938968136608e-01
  6.57370488999998e+01   5.22531352307010e-01   5.53262067222400e-01
  6.72071153999998e+01   9.13297082509329e-01   6.47706766601949e-01
  6.81140226999998e+01   9.66822098622833e-01   8.91166840694098e-01
  7.01117484999998e+01   7.75200810065298e-01   4.79744644352325e-01
  7.21094742999998e+01  -2.60822494648301e-02   3.17123160978432e-01
  7.35795407999999e+01  -3.78481826832728e-01   5.05955961077615e-01
  7.44864480999999e+01  -6.48708452189710e-01   5.69563443689658e-01
  7.64841738999999e+01  -3.38979691554112e-01   6.04283918469417e-01
  7.84818996999999e+01   5.30086723309598e-02   1.97803519125794e-02
  7.99519661999999e+01  -8.44555432761303e-03  -5.32109762203221e-01
  8.42514661999999e+01   7.31507672565045e-02   9.37511628200556e-01
  8.55999661999999e+01   1.01754485438627e-01   8.71469028242760e-01
  9.02926781999999e+01  -1.28133846086650e-01  -1.34508802037371e+00
  9.25673881999998e+01  -4.46249484653865e-02  -1.44725794154473e+00
  9.92230671999998e+01   1.95540956569740e-01  -8.15188142953264e-01
  1.00866973200000e+02   2.22075167976463e-01  -8.07603611304849e-02
  1.08848651200000e+02  -8.14642433806819e-01   7.74683646873292e-01
  1.10022151200000e+02  -3.62668654363376e-01   5.04847187747578e-01
  1.12402151200000e+02   2.36242673919651e-01  -9.17703250060620e-01
  1.15386501200000e+02   5.26843873674030e-01  -1.29341013485204e+00
  1.18925531200000e+02   3.88418728016913e-01  -4.29485644206484e-01
  1.24588799200000e+02  -1.62340666175347e-01  -4.28107822340860e-01
  1.26004954200000e+02  -3.85787353273826e-01  -2.44157976141756e-01
  1.29806844200000e+02  -2.78975608400842e+00  -1.33626622032942e-01
  1.34224590200000e+02  -2.61125217733066e+00   1.17454525842500e-02
  1.37878480200000e+02  -5.52604375852263e-01   3.29013248733154e-01
  1.41242740200000e+02  -7.46187066574127e-01   4.37895809240756e-01
  1.46341150200000e+02  -6.37458880961768e-01  -3.82306440372755e-01
  1.47697646200000e+02  -8.06931155317446e-01  -2.39744178514970e-01
  1.54032200200000e+02   6.09386402615668e-01  -1.19777452196848e+00
  1.56731200200000e+02   9.39650462637880e-01  -3.56742709857397e-01
  1.57829700200000e+02   5.11915650177255e-01   5.24628951701521e-01
