# orbit data saved at Tue Nov  8 14:30:59 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   4.33937048981725e-01   3.74169850746629e-01
  3.10909560000000e+00   5.20400565894791e-01   3.88375344517593e-02
  3.88442290000000e+00   5.40704240233242e-01   1.81903146686448e-02
  5.44372970000000e+00   1.71401877982613e-01   3.46180515308553e-01
  6.48219120000000e+00   4.30082507075519e-01   2.34056668604142e-01
  7.25751850000000e+00   5.57504105905768e-01   2.10945830558938e-01
  8.81682530000000e+00   2.83022179385881e-01   1.62967832676930e-01
  9.85528680000000e+00   4.54476266244742e-01   2.60155802532177e-01
  1.07621941000000e+01   7.56956803040579e-01   3.77581844110908e-01
  1.27599199000000e+01   6.12426077844844e-01   3.93593527454607e-02
  1.47576457000000e+01   3.84540272565527e-01   4.30651399479048e-01
  1.62277122000000e+01   6.15908210217837e-01   6.67214344955441e-01
  1.71346195000000e+01   7.11930119793631e-01   9.79733234747137e-01
  1.91323453000000e+01   9.63254168552090e-01   9.62808179312680e-01
  2.11300711000000e+01   1.07471485186951e+00   1.03494045877138e+00
  2.26001376000000e+01   1.21794261262749e+00   7.69487201002386e-01
  2.35070449000000e+01   1.04534737959443e+00   1.05319772158760e+00
  2.55047707000000e+01   9.14881294103703e-01   9.98149585821199e-01
  2.75024965000000e+01   9.41244933115381e-01   1.17884978132779e+00
  2.89725630000000e+01   1.16282713890610e+00   9.00918359660487e-01
  2.98794703000000e+01   9.52903663914333e-01   1.10591795846031e+00
  3.18771961000000e+01   8.43309826586536e-01   1.03545152242629e+00
  3.38749219000000e+01   9.90248291811949e-01   1.25092025201381e+00
  3.53449884000000e+01   1.29538719075337e+00   8.64670838375543e-01
  3.62518957000000e+01   1.10191507750764e+00   1.01610424732728e+00
  3.82496215000000e+01   7.98611241830773e-01   8.78352927372515e-01
  4.02473473000000e+01   8.05762353800485e-01   1.30936480390247e+00
  4.17174138000000e+01   1.26005683187826e+00   1.07083117801564e+00
  4.26243211000000e+01   1.12236979535732e+00   1.25154693870759e+00
  4.46220468999999e+01   9.46129159130731e-01   9.41282798183828e-01
  4.66197726999999e+01   7.90744921951686e-01   1.20317448062286e+00
  4.80898391999999e+01   1.09460629692811e+00   1.08686890153298e+00
  4.89967464999999e+01   9.26007517167908e-01   1.31749012217759e+00
  5.09944722999999e+01   9.56633579553085e-01   1.17037120423253e+00
  5.29921980999999e+01   1.00485907224880e+00   1.25709737269207e+00
  5.44622645999999e+01   1.25657838422580e+00   1.01815545743507e+00
  5.53691718999999e+01   1.07556867815212e+00   1.21416764364055e+00
  5.73668976999999e+01   9.10032308171538e-01   1.08321912819636e+00
  5.93646234999998e+01   8.41187204705395e-01   1.35644893749024e+00
  6.08346899999998e+01   1.16662624646445e+00   1.18231930830963e+00
  6.17415972999998e+01   9.80025119449081e-01   1.36856891848286e+00
  6.37393230999998e+01   9.27398770457638e-01   1.04732937688588e+00
  6.57370488999998e+01   8.07341276063852e-01   1.02020634582315e+00
  6.72071153999998e+01   1.00332032108832e+00   8.27322227998093e-01
  6.81140226999998e+01   8.75053910699026e-01   9.78813622160639e-01
  7.01117484999998e+01   1.03752388645584e+00   9.35046461476376e-01
  7.21094742999998e+01   1.27474545316471e+00   1.08704104111892e+00
  7.35795407999999e+01   1.43985020749103e+00   9.23872529778317e-01
  7.44864480999999e+01   1.23887484647580e+00   1.25724680591973e+00
  7.64841738999999e+01   9.89975623771244e-01   1.22723822504888e+00
  7.84818996999999e+01   6.94906195017637e-01   8.90602901726813e-01
  7.99519661999999e+01   2.53473949168231e-01  -1.02116227617694e-01
  8.42514661999999e+01   5.07391897991561e-02   1.62678644554408e+00
  8.55999661999999e+01   7.64083920477082e-01   1.08476625937738e+00
  9.02926781999999e+01   1.08729225144905e-01  -1.78171456936584e+00
  9.25673881999998e+01  -4.59089574195855e-01  -1.33834308268731e+00
  9.92230671999998e+01   4.18901545727401e-01   2.55638491289175e-01
  1.00866973200000e+02   7.71812473890497e-01   3.64135247875969e-01
  1.08848651200000e+02  -8.45018594323713e-01   2.15046038265978e-01
  1.10022151200000e+02  -4.40944631201653e-01  -1.16301367050130e-02
  1.12402151200000e+02  -2.80818434827952e-03  -5.10545484845587e-01
  1.15386501200000e+02   3.16482494226720e-01  -3.98390019508634e-01
  1.18925531200000e+02   5.15605968599580e-01   1.70334277867016e-01
  1.24588799200000e+02  -3.42269812394197e-01   2.62565488772613e-01
  1.26004954200000e+02  -1.05411248206646e+00   6.78120378244678e-02
  1.29806844200000e+02  -2.43525890776885e+00  -4.36966056656812e-01
  1.34224590200000e+02  -2.55040364306734e+00  -3.23984514229223e-01
  1.37878480200000e+02  -8.19746929476911e-01   4.98032753240040e-01
  1.41242740200000e+02  -8.35460506643501e-01   9.12750050485961e-01
  1.46341150200000e+02  -3.63182686965901e-01  -5.31024550183699e-01
  1.47697646200000e+02  -2.94860397166306e-01  -3.88514581014866e-01
  1.54032200200000e+02   6.53723053685984e-01  -1.66243402654133e+00
  1.56731200200000e+02   5.55808318839273e-01  -4.50519869618647e-01
  1.57829700200000e+02   2.24929694864407e-01   7.72426904828572e-01
