# orbit data saved at Mon Nov  7 15:09:25 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   5.83156860224726e-02  -2.43519205188878e-01
  3.10909560000000e+00  -1.54385609506322e-02  -1.34770431634343e-01
  3.88442290000000e+00   1.10458769172871e-01  -1.04937769536218e-01
  5.44372970000000e+00   1.27740981138281e-01  -3.78263081586841e-02
  6.48219120000000e+00   3.51434583962743e-02   7.24941485692633e-03
  7.25751850000000e+00  -3.38579651196084e-03   8.15831920222228e-02
  8.81682530000000e+00   6.18594831282512e-02  -1.46054667301601e-01
  9.85528680000000e+00   8.32081120241347e-04  -2.30809438273780e-01
  1.07621941000000e+01   8.71759421121149e-02  -5.81114432804550e-01
  1.27599199000000e+01   6.22541724016393e-02  -9.99581402936330e-01
  1.47576457000000e+01   4.31688209058896e-02  -1.19458209679791e+00
  1.62277122000000e+01  -2.57674776577395e-01  -1.09181607357469e+00
  1.71346195000000e+01   1.82425552768012e-01  -1.47422313911806e+00
  1.91323453000000e+01   2.72675735067666e-03  -1.41826436372046e+00
  2.11300711000000e+01   1.02626409710941e-01  -1.31657678254942e+00
  2.26001376000000e+01  -1.85178579270602e-01  -1.10854904774115e+00
  2.35070449000000e+01   1.75329116322517e-01  -1.20086592621774e+00
  2.55047707000000e+01  -1.07263072812632e-03  -9.60051028359036e-01
  2.75024965000000e+01   8.04479883667965e-03  -7.57377177416204e-01
  2.89725630000000e+01  -1.42482207681272e-01  -5.89212678791253e-01
  2.98794703000000e+01   5.12806616057470e-02  -6.33791267418258e-01
  3.18771961000000e+01  -2.75432603842731e-02  -5.24228094656301e-01
  3.38749219000000e+01  -3.39468977722628e-02  -4.56132047280661e-01
  3.53449884000000e+01  -1.09554955280029e-01  -3.53660011751014e-01
  3.62518957000000e+01   2.93990485893813e-02  -3.99694555924820e-01
  3.82496215000000e+01  -1.10090024405545e-04  -3.50413542200245e-01
  4.02473473000000e+01  -2.17460902039127e-02  -3.14084386490979e-01
  4.17174138000000e+01  -8.13025359145681e-02  -2.31280014554391e-01
  4.26243211000000e+01   1.55355858591540e-02  -2.60253873857287e-01
  4.46220468999999e+01   6.95671651938671e-03  -2.42214295621352e-01
  4.66197726999999e+01  -2.79900462467739e-02  -2.41445049431123e-01
  4.80898391999999e+01  -7.58347941675487e-02  -1.80635141913393e-01
  4.89967464999999e+01  -1.45087358335205e-03  -2.10072790306206e-01
  5.09944722999999e+01   1.68073465750082e-02  -1.97146356026906e-01
  5.29921980999999e+01  -1.02321958751378e-03  -1.90362317056975e-01
  5.44622645999999e+01  -3.87409152515078e-02  -1.50696145025661e-01
  5.53691718999999e+01   1.29151677323430e-02  -1.71848315812656e-01
  5.73668976999999e+01   1.66683549213035e-02  -1.44974583689243e-01
  5.93646234999998e+01   9.03838592655673e-03  -1.34360540829288e-01
  6.08346899999998e+01  -2.34730982660746e-02  -1.13110004623056e-01
  6.17415972999998e+01   1.29555797193474e-02  -1.36588913565893e-01
  6.37393230999998e+01   5.26045039195586e-03  -1.23648173287258e-01
  6.57370488999998e+01  -6.43126078218756e-03  -1.02554166321970e-01
  6.72071153999998e+01  -1.85003272694818e-02  -5.94061435583284e-02
  6.81140226999998e+01   1.91377324129868e-02  -6.47724610597393e-02
  7.01117484999998e+01   3.33769684369860e-02  -3.48280854243372e-02
  7.21094742999998e+01  -6.12200824958736e-03   2.19022420195465e-02
  7.35795407999999e+01  -1.44803906852737e-02   8.69437820965520e-02
  7.44864480999999e+01  -1.83651786662228e-02   1.03569779485321e-01
  7.64841738999999e+01   6.79156388249451e-02   1.76095716610007e-02
  7.84818996999999e+01   1.12273127050336e-02  -2.72352833808536e-01
  7.99519661999999e+01  -2.62805844569260e-01  -3.41112233363015e-01
  8.42514661999999e+01   4.66037707227181e-02   1.20613952032960e+00
  8.55999661999999e+01   5.28871584487841e-01   6.76773168053143e-01
  9.02926781999999e+01   5.05910691442593e-02  -1.15625523950267e+00
  9.25673881999998e+01  -3.14909217877527e-01  -6.42387311984863e-01
  9.92230671999998e+01   3.14121675035279e-01   4.47094374763304e-01
  1.00866973200000e+02   5.54854483433168e-01   2.08096017536574e-01
  1.08848651200000e+02  -7.06333398697339e-01  -8.56465807618896e-01
  1.10022151200000e+02  -3.57778919137956e-01  -7.48036489909500e-01
  1.12402151200000e+02   3.89831168091836e-02   6.94534630218028e-01
  1.15386501200000e+02   3.02894451314344e-01   1.38072009035971e+00
  1.18925531200000e+02   4.12190965244639e-01   8.37111860625479e-01
  1.24588799200000e+02  -2.57102537303995e-01  -2.53613199243755e+00
  1.26004954200000e+02  -7.72066656515964e-01  -1.48062048687467e+00
  1.29806844200000e+02  -2.59491784627431e+00  -1.04910892373631e+00
  1.34224590200000e+02  -2.53885317663315e+00  -9.88013184690267e-02
  1.37878480200000e+02  -7.65294805766210e-01   2.26427507053216e+00
  1.41242740200000e+02  -8.57965880207689e-01   3.13503024238753e+00
  1.46341150200000e+02  -5.03245014844821e-01  -2.65688900154637e+00
  1.47697646200000e+02  -5.28862127143886e-01  -1.65895231411259e+00
  1.54032200200000e+02   6.84339713216231e-01  -1.72921027759646e+00
  1.56731200200000e+02   7.54374573580059e-01  -2.38346033030974e-01
  1.57829700200000e+02   3.57782976648412e-01   1.01434053328494e+00
